split,origin_id,horizon,candidate_id,temperature,median_path_rmse,median_path_mae,real_volatility,synthetic_volatility_median,diversity,covariance_relative_frobenius_median,correlation_abs_difference_median,autocorrelation_lag1_synthetic_mean,autocorrelation_lag1_real_mean,synthetic_q01,synthetic_q05,synthetic_q95,synthetic_q99,real_q01,real_q05,real_q95,real_q99
validation,0,5,4,1.0,0.03264153115911043,0.025008013828094894,0.02674031254770367,0.02011304721236229,0.024530429393053055,0.9419241825274218,0.4683510344850455,-0.22573038395106748,-0.08055997558590522,-0.07006526738405228,-0.042011409997940063,0.043631747364997864,0.0730973407626152,-0.0794250614196062,-0.061989481747150424,0.04403453171253204,0.08342390708625314
validation,0,10,4,1.0,0.03491011818215386,0.024433907806912125,0.0282348057054805,0.021298959851264954,0.023336585611104965,0.8446337963130595,0.3126579234458128,-0.10166551228183264,-0.02434492273606264,-0.0669068992137909,-0.0399131178855896,0.04112580418586731,0.06904474645853043,-0.07915654622018337,-0.06157154887914657,0.04427439309656624,0.10185296267271035
validation,0,20,4,1.0,0.03302708065877032,0.022638774771767203,0.027630752520725454,0.02154272422194481,0.02249850332736969,0.797423124571979,0.2294052702342822,-0.04473738635789939,0.0027107789287717844,-0.06507702171802521,-0.03854157030582428,0.03943730145692825,0.06579133123159409,-0.0791558413952589,-0.0514399480074644,0.05280490592122078,0.10888395331799977
validation,0,40,4,1.0,0.03271960008998698,0.02045292324917682,0.02619339218244688,0.021746832877397537,0.022136535495519638,0.7882019280806467,0.18617599382450806,-0.019645895380752832,0.0007858560316190495,-0.06442417204380035,-0.0380396768450737,0.038700658828020096,0.06445230543613434,-0.08278173208236694,-0.04539704620838165,0.05014344286173579,0.11559799589216709
validation,0,60,4,1.0,0.02953327066089068,0.018444550810377727,0.02393810674589183,0.021780241280794144,0.022029327228665352,0.7482412430903591,0.16562597192428136,-0.010498438708123888,0.017866268169850527,-0.06410378962755203,-0.03782212734222412,0.038514457643032074,0.0638311579823494,-0.07582961350679397,-0.03812866266816854,0.045323369838297364,0.09760540269315239
validation,1,5,4,1.0,0.01758036051195937,0.012579803169549753,0.014205901427961482,0.01789715513586998,0.02158823423087597,1.2898085198647615,0.5206855375915367,-0.241219251024029,0.08285097083497021,-0.06335683166980743,-0.0382530502974987,0.03654054179787636,0.06101693585515022,-0.04066719181835651,-0.0263897392898798,0.030336310528218745,0.05343839760869723
validation,1,10,4,1.0,0.017236644758465904,0.011950227643380155,0.014565592925238815,0.019954655319452286,0.02171383611857891,1.3446954126128787,0.349726257063194,-0.11096969998675377,-0.027982266733170242,-0.06293310970067978,-0.03779272362589836,0.037337545305490494,0.06250593066215515,-0.04481715649366379,-0.02431915858760476,0.02932651098817587,0.05201821502298106
validation,1,20,4,1.0,0.01841274515101542,0.013068351309733165,0.016394311164041234,0.020847756415605545,0.021721605211496353,0.9921873126142924,0.27633926997604263,-0.04683413729819712,-0.03293198076440648,-0.06317007541656494,-0.03776136040687561,0.03747911751270294,0.0626845508813858,-0.05474857870489359,-0.026616824977099895,0.029326510988175864,0.05331176578998561
validation,1,40,4,1.0,0.018983682415063777,0.012628756141163346,0.016918582496295388,0.02126336842775345,0.021699734032154083,1.0105186291712887,0.20331457951092036,-0.020182286383882676,-0.023393434713037363,-0.06331584602594376,-0.03766278177499771,0.03745529428124428,0.0624086819589138,-0.05474857870489359,-0.02762648491188884,0.02649286603555083,0.05191699270159005
validation,1,60,4,1.0,0.01877717926020021,0.012730617576940453,0.01690477762229909,0.021466486155986786,0.021745918318629265,0.8514525714623681,0.1828194782966222,-0.011266883358180085,-0.014504512191794246,-0.06323789805173874,-0.03758879378437996,0.037649814039468765,0.06267280876636505,-0.05970399670302868,-0.029775402694940566,0.025131529755890367,0.04381369423121213
validation,2,5,4,1.0,0.025235558734471215,0.017610007168259473,0.01870446185539503,0.01781027391552925,0.021544571965932846,1.1511112890030146,0.5796662566555635,-0.24415654209816695,-0.22905028773016867,-0.06303734332323074,-0.03705059736967087,0.03833453729748726,0.06290857493877411,-0.07058499537408353,-0.040131204575300214,0.036754367314279064,0.0720493526384231
validation,2,10,4,1.0,0.029565698530081903,0.021203825332728837,0.02531581765054454,0.019723525270819664,0.0215471014380455,0.8267149863717428,0.34903508767833613,-0.1140218136292576,-0.2008521833345917,-0.06298119574785233,-0.037227749824523926,0.03791799023747444,0.06242479011416435,-0.0840413798391819,-0.047592604719102385,0.04653685279190541,0.0776264140754937
validation,2,20,4,1.0,0.029905299964077075,0.021265429418999702,0.025983830214987402,0.02069101296365261,0.021562134847044945,0.7740333971247173,0.27071857809280725,-0.054226549852438945,-0.11508570430180169,-0.062633216381073,-0.03725343942642212,0.03770509734749794,0.062165312469005585,-0.07093038760125638,-0.04556722193956375,0.046148289740085585,0.07756342582404607
validation,2,40,4,1.0,0.026885921079980474,0.01858576326802601,0.023544907716771108,0.02123284339904785,0.021636057645082474,0.6845595210011661,0.22209279112950692,-0.019807217952106035,-0.08243176803835003,-0.06285613030195236,-0.037309106439352036,0.03780396282672882,0.062452200800180435,-0.07184443078935146,-0.042459080927073956,0.04131843876093621,0.07594496995210646
