epoch,train_total_loss,val_total_loss,train_reconstruction_loss,val_reconstruction_loss,train_selection_score,val_selection_score,train_common_reconstruction_loss,val_common_reconstruction_loss,train_common_total_loss,val_common_total_loss,train_kl_loss,val_kl_loss,train_market_loss,val_market_loss,train_sector_loss,val_sector_loss,train_idio_loss,val_idio_loss
1,0.9979409725260454,0.9026798009872437,0.9979346819733199,0.9026708602905273,0.9983590625187173,0.9276468753814697,0.9988069059497401,0.863950252532959,0.998813199600068,0.8639591932296753,0.006299194215085634,0.008958742953836918,0.9974170628476811,1.0616294145584106,0.9957659792183765,0.869758129119873,1.0018941841617233,0.8515530824661255
2,0.9865948663607779,0.8945592045783997,0.9865645653728156,0.894499659538269,0.9872529463607317,0.9219387173652649,0.9887899972053742,0.8547348380088806,0.9888202981933365,0.8547943830490112,0.030294301037472823,0.05956389382481575,0.9840198238835894,1.0632987022399902,0.9821943679670952,0.8554233312606812,0.9955446489255118,0.8470940589904785
3,0.9632085761160469,0.8611769676208496,0.9630533041046055,0.8610146641731262,0.9616998832399072,0.8734369277954102,0.9725038707619318,0.8445640802383423,0.9726591427733731,0.8447263836860657,0.15526535631532937,0.16228114068508148,0.9389741533880934,0.9341697096824646,0.9571041241439435,0.8416916728019714,0.9890213144585411,0.844449520111084
4,0.9465306837095074,0.841011106967926,0.9462965564712296,0.8407399654388428,0.9421949275034596,0.8469664454460144,0.9619932308266718,0.8357352614402771,0.9622273580649496,0.8360064029693604,0.23413013422145526,0.2711654603481293,0.90055022160309,0.8705905675888062,0.9418806152473462,0.8276463150978088,0.9841539588005525,0.8426622748374939
5,0.9391378647323745,0.8349665999412537,0.9387429475155101,0.834507942199707,0.934390566985974,0.8401357531547546,0.9561745996790788,0.8314566016197205,0.9565695168959432,0.8319152593612671,0.3949197056789104,0.4586465358734131,0.8885690471141551,0.8583919405937195,0.9332415548176287,0.8211246132850647,0.9813611764661965,0.8408907651901245
6,0.9344970851809912,0.8303783535957336,0.9338992296366783,0.8297116160392761,0.9289535013002155,0.8336427211761475,0.952968911141145,0.8296739459037781,0.9535667697830603,0.8303406834602356,0.5978530247764184,0.6667529940605164,0.8784384021321497,0.8419907093048096,0.928424483578814,0.818161129951477,0.9799976367752967,0.8407763242721558
7,0.9300285803318217,0.8228808641433716,0.9292457592569615,0.8220812082290649,0.924618194101305,0.8257191777229309,0.9487495291683183,0.8241752982139587,0.9495323502431785,0.8249749541282654,0.7828252213639164,0.7996720671653748,0.8738592066176287,0.8289666771888733,0.922376429313477,0.8091529011726379,0.9776189611106203,0.8390380144119263
8,0.9239400066208462,0.8188556432723999,0.9230535745233527,0.8179126977920532,0.9192764888049818,0.8228951096534729,0.9428901560075197,0.819514274597168,0.9437765943002178,0.8204572200775146,0.8864280078597926,0.9429676532745361,0.8696063712414716,0.8300063610076904,0.9133268605389829,0.8015386462211609,0.9748962245914833,0.8371402621269226
9,0.9184101937846154,0.8139050006866455,0.9173991167104878,0.812839150428772,0.9138283451011013,0.8175313472747803,0.9381080384279623,0.8165761232376099,0.9391191124044876,0.8176419734954834,1.0110723678532336,1.06587553024292,0.8627573059092098,0.8195405006408691,0.9061465073638557,0.7950747609138489,0.972581245310656,0.8379788398742676
10,0.9127152876983655,0.8063335418701172,0.911545498144612,0.8050960898399353,0.906036506011822,0.8048176765441895,0.9353606240370871,0.8158979415893555,0.9365304166884428,0.8171353936195374,1.169789832924809,1.2374404668807983,0.8443547074648601,0.781511127948761,0.9027405333044661,0.7945561408996582,0.9710142587289257,0.8383859395980835
