epoch,train_total_loss,train_reconstruction_loss,train_selection_score,train_common_reconstruction_loss,train_common_total_loss,train_kl_loss,train_market_loss,train_sector_loss,train_idio_loss
1,1.0179769933459486,1.0179627748840534,1.0171953466503536,1.0201406364001975,1.0201548583556406,0.014215898042673989,1.011000050888864,1.0179347172352702,1.022651243149827
2,0.9940566452918658,0.9940261727440747,0.995180032378433,0.9974139784360609,0.9974444454970526,0.030471094860871118,0.9904809788121289,0.9870611076644752,1.0079979804812984
3,0.9665401643533923,0.9664411257171494,0.9716674326264314,0.9705295661763723,0.9706286102994146,0.09904680437254675,0.9740608668250174,0.9467326218985003,0.9942087894590241
4,0.9446828223226397,0.9444998714058831,0.9468407853178651,0.9551690920828402,0.9553520457429965,0.18294833281172218,0.9293225309438132,0.9263771214917254,0.9848226760840596
5,0.9259762154213604,0.925722552198851,0.9212442824026956,0.947237187626121,0.9474908481052307,0.2536606725515628,0.8665695473985765,0.9162981681196177,0.9808651301895959
6,0.912401384777493,0.912021477588515,0.9056608895953719,0.9377807479503129,0.9381606523958911,0.37991035105684,0.838098506325657,0.9036826340683242,0.9752015119317365
7,0.9001022744033029,0.8994865767478257,0.8931023504656024,0.9273792382668609,0.9279949331789383,0.6157058886339749,0.8210026758774199,0.8889736135372023,0.9693307475150381
8,0.889498145556287,0.8885747152496182,0.8831480600258637,0.9172163598188519,0.9181397901255207,0.9234325117192136,0.8114871322058466,0.8744508161128146,0.9635062030818299
9,0.8805168760804468,0.8793628321667877,0.8748538131038305,0.9082666882847934,0.9094207321984525,1.1540450973503884,0.8045715230353999,0.8622577203687513,0.957732180947239
10,0.8738556438022189,0.872518256086962,0.8681232067630772,0.9019809217814789,0.9033183094967359,1.3373861521621782,0.7969052629992072,0.8544894368560226,0.9529749102105515
11,0.8665511188898014,0.8650510234825906,0.8593765495493016,0.8964080974722201,0.8979081928794309,1.5000903227054057,0.781482631891848,0.8488018220382301,0.9478452165364276
12,0.8562867026755983,0.8546484223118535,0.8455541757575388,0.8906506448716236,0.8922889252353683,1.638285215404213,0.7506961250682394,0.8435963205363587,0.9423700830397183
13,0.8435513463992517,0.8417283530631369,0.8273931229898973,0.8852270625555785,0.8870500558916934,1.822997168086922,0.7057424474645544,0.8382438754315258,0.9381930377148159
14,0.8331633015786603,0.8311728012514646,0.8132312458352793,0.8794299046027064,0.8814204049299021,1.9905008336101149,0.6739858031937306,0.833316186378003,0.9323917536673808
15,0.8252777727719307,0.8231450742373831,0.803537822056914,0.8734149766114065,0.8755476751459541,2.1327022118175774,0.656554855660799,0.8280825445824328,0.9259760645558105
16,0.8187498797062103,0.8164879672607044,0.7961294369190042,0.867818348423177,0.870080260868683,2.261908591115102,0.6453354689810011,0.8225250151979542,0.9205278237060607
17,0.811139227524373,0.8087752643612296,0.78844788637319,0.8607996844722401,0.8631636476353834,2.363969175132304,0.6362596082413038,0.8139906431736169,0.915093396109499
18,0.8013528272514933,0.7988651439638628,0.7796832731155044,0.850952214000466,0.8534398992813478,2.4876865683935905,0.6297728061590294,0.800637259581071,0.908639770066811
19,0.7901768366752961,0.7875782866265353,0.7695646762676438,0.8399903152281327,0.8425888652768936,2.5985555203001263,0.6214279871070955,0.785564244757964,0.9017018167632211
20,0.779750870162315,0.7770146450650045,0.7598563068978694,0.8301798443235283,0.8329160694208388,2.7362290694961358,0.6119343683214677,0.7716869980857681,0.8959475322105781
21,0.7677129985016483,0.7648444742403713,0.7480792833806285,0.8200754485984193,0.8229439728596964,2.8685255294135903,0.5966390658522287,0.7561849701837514,0.8914138470267015
22,0.7569951959883983,0.7540309597844916,0.7359777200097705,0.8125215482043089,0.8154857844082154,2.9642365829244186,0.5749717651404567,0.7457408950681182,0.887220506550639
23,0.7454698734984729,0.7423993713004432,0.7203431042867013,0.8072704603371111,0.8103409625351408,3.070505329534674,0.5374959166081678,0.7392007761274212,0.8843326207460667
24,0.7361247947386639,0.7329464126559138,0.707544500387988,0.8032529027030777,0.8064312847858279,3.1783799266952357,0.506226804660662,0.7338951580046922,0.8825115332582879
25,0.7284282304451046,0.7251750562569085,0.6982619808929852,0.7983958537696034,0.8016490279577997,3.2531742154587433,0.4876356055114133,0.7275140746297359,0.8796362847314811
26,0.7230640948783232,0.7197547439875598,0.6926521508224746,0.7940398691070033,0.7973492199977668,3.309352040590892,0.4793883477642741,0.7215331323881536,0.8770349674497478
27,0.7163209353407182,0.7129484035479255,0.6851668547315162,0.7891790435837996,0.7925515753765923,3.3725372501004305,0.4663826138241949,0.7146824047274831,0.8744355517512215
28,0.7108005747783103,0.7073553588826722,0.6802779411678047,0.7839899080042272,0.7874351238998651,3.445213454612422,0.46212520398111145,0.7065885890220318,0.8721200430920466
29,0.704599988027598,0.7011024669879035,0.6748366101488541,0.7781524033008056,0.7816499243405002,3.497517751901538,0.45751715528369163,0.6975060972709615,0.8694865877402853
30,0.6982861848367885,0.694741392127047,0.6685911448942333,0.772955011931395,0.7764998046411365,3.5447989580057713,0.44906709204685424,0.6895802253143944,0.867126130041824
31,0.6932378768363645,0.689656579507336,0.6639753081566222,0.7683476702809462,0.7719289648665751,3.581297216206221,0.4444334164492221,0.6826107231715908,0.8648817648951075
32,0.6898186354489688,0.6861890567287786,0.660958335644819,0.7649797817992889,0.7686093605194791,3.6295762779643232,0.44215463026313206,0.6777100002795662,0.8630103889835348
33,0.6843557253624629,0.6806996140879549,0.6554188577445537,0.760536525841884,0.7641926371163921,3.6561106139487904,0.4343092594589102,0.6712677643179936,0.8606795513214117
34,0.6783011814794365,0.6746037295292453,0.6486339929377334,0.7563498434896994,0.7600472954398906,3.6974485101394627,0.4220592930393226,0.665195286766911,0.858647393327272
35,0.6728481445026158,0.6691042107671595,0.6427328914714692,0.7524356344585494,0.7561795681940056,3.743933025001408,0.4119788532589717,0.6592123804226148,0.8570074422331175
36,0.668763288595144,0.664981231313093,0.6382792943975386,0.7495022143489464,0.7532842716309973,3.7820515798948002,0.4043276235273698,0.654813068134242,0.8556972006935304
37,0.6635382239958315,0.6597282874931409,0.6322472150357495,0.7462536893230426,0.7500636258257332,3.8099399684616575,0.3924404995469728,0.6497491872254914,0.8545519439962347
38,0.6558512881135649,0.6520157157838966,0.6217263983077002,0.7433586325931789,0.7471942049228472,3.8355721882117475,0.36587928565060307,0.645249355915252,0.8540505645773214
39,0.646729468892093,0.642857672884412,0.608818790009021,0.7402621064199814,0.7441338996842627,3.8717950189426538,0.33233459387075037,0.6407710195916542,0.8533507821286423
40,0.6383443730248688,0.6344339717253212,0.5972866299382992,0.7371804391853417,0.7410908404848894,3.9104065545297106,0.30302725687853427,0.6358935792683612,0.852939052424899
41,0.6317998119628245,0.6278453826132716,0.589340339329379,0.7335343818062717,0.7374888111558247,3.9544245672071634,0.286035657137986,0.6302131143931389,0.8517722569322981
42,0.6239743495278974,0.6200013991012628,0.5801883742175742,0.7285130093612932,0.7324859597879277,3.9729483267335914,0.2681951845283776,0.6232568708652646,0.8491130827228528
43,0.6164092850616535,0.6124281493591259,0.5712180549787215,0.723796837366729,0.7277779744409564,3.9811364056094436,0.2502764632743882,0.6167976676196085,0.8465800497524175
44,0.6109129097855207,0.6069076024598674,0.5655939000324138,0.7192566357298491,0.7232619430555023,4.00530419543423,0.24237227039086823,0.610551545042136,0.8438578942661361
45,0.6052062400207807,0.6011764232694824,0.5589658321128909,0.7154678138457199,0.7194976305970182,4.029820871713221,0.2297720461065758,0.6054217511481923,0.8417037234637258
46,0.6006791835978322,0.5966162931486155,0.5538895711200952,0.7123199682234003,0.716382858672617,4.062894050786068,0.2206394114604917,0.6008981076859177,0.8401311879447791
47,0.5970750986693875,0.592991649504404,0.5495704398100344,0.7101101773070672,0.7141936251003508,4.08344834162065,0.21188338074119173,0.5978329409716242,0.8389949795154735
48,0.5928120902869737,0.5887178686272965,0.5449297734405959,0.7071362952669933,0.7112305169266705,4.094226698445056,0.20373676277372915,0.59327366732728,0.837778893274954
