epoch,train_total_nll,train_selection_score,train_market_nll,train_sector_nll,train_idio_nll,train_mse,train_market_mse,train_sector_mse,train_idio_mse,train_coverage_68,train_coverage_95,train_standardized_residual_mean,train_standardized_residual_std,val_total_nll,val_selection_score,val_market_nll,val_sector_nll,val_idio_nll,val_mse,val_market_mse,val_sector_mse,val_idio_mse,val_coverage_68,val_coverage_95,val_standardized_residual_mean,val_standardized_residual_std
1,0.5042510939540099,0.5047640489194278,0.5041987768683289,0.5068655557934152,0.5016383776939334,1.008898309239997,1.0800807340511638,1.0134703027866172,1.0019535489501896,0.7810506975362045,0.9496365584068468,0.00827417351803602,1.0010364425695006,0.4649500548839569,0.44426014423370364,0.34126972158749896,0.4789967934290568,0.4550259927908579,0.9280067245165508,0.7025069197018942,0.9502477486928304,0.9132827560106913,0.7693305929501851,0.9511612097422282,0.00569232851266861,0.9628888289133708
2,0.4930195363217277,0.4788326227128712,0.4122189280277305,0.49884560749899676,0.4898867314838856,1.0044676697142219,1.064592051906746,1.008964321663989,0.9979666987092437,0.7812694970240289,0.9502362101548271,0.005469288908081424,0.9929805418906446,0.4634148637453715,0.43883805672327675,0.3183869500954946,0.47830736835797627,0.4533565660317739,0.9272124568621317,0.7010579784711202,0.9492403030395508,0.912723159790039,0.7675546685854594,0.9502732038497925,0.0039721245567003885,0.9685621301333109
3,0.4776919253586662,0.44968996785150206,0.322583427935382,0.48503513543604626,0.4755190075092014,1.0036788244266293,1.0589549370585134,1.0078201700541505,0.9976950329951703,0.7760994481498277,0.9494663787194543,0.0030036081195805725,0.9931576278500786,0.4610555370648702,0.4331533352533976,0.29692193667093914,0.47747141122817993,0.45011078119277953,0.9286611874898275,0.7008921941121419,0.9506667256355286,0.9142482360204061,0.7556010842323303,0.9456284364064534,-0.0005709761443237464,0.9983472029368082
4,0.4533445766905541,0.41900201849694657,0.2661728830515484,0.4594448026724517,0.453483428052906,1.0036019815175297,1.0582520890165188,1.0073737450536973,0.9980085040753394,0.7668209115408814,0.9488262042395855,-0.0012474375956719884,0.9968554296531243,0.461719552675883,0.44634972016016644,0.365058829387029,0.4766978621482849,0.44996341069539386,0.9277179121971131,0.6997659603754679,0.9495257178942362,0.9135083079338073,0.7394125660260519,0.9375683069229126,-0.003645706492049309,1.0364010175069174
5,0.43751143749197463,0.39795402109298855,0.22410578247909196,0.4424597222175683,0.43967665969824593,1.0018185055379636,1.0517028692743298,1.0054498705838024,0.9965242615915205,0.7605730801953341,0.9484534385000428,0.001185519177442692,0.9975167887669298,0.46756806373596194,0.4526566823323568,0.37467341820398964,0.48126105666160585,0.45697152614593506,0.9272485613822937,0.706136953830719,0.9489595890045166,0.912907870610555,0.7300546407699585,0.9333333492279052,-0.0013115035525212684,1.0683594703674317
6,0.42988303658753646,0.3887293053274395,0.20782187005051045,0.43507247395699294,0.4320956409360534,1.0012805110089447,1.0466853106192768,1.0049169409469514,0.9961306506080081,0.7542928482598735,0.9471487718469956,0.0022453641002418614,1.007406480820298,0.46594916582107543,0.4479417363802592,0.35582247177759807,0.4805323123931885,0.4550369083881378,0.9268644491831461,0.7109057625134786,0.9483923554420471,0.9125349322954813,0.7307376941045125,0.9339480797449747,0.0015670021995902062,1.0628451665242513
7,0.4239750388407554,0.38176456323603386,0.196142538505442,0.42936354670793303,0.42618093075754615,1.0002048222428197,1.0500883343074796,1.0035975523885972,0.995149274244794,0.7569994295933903,0.9488018962397649,0.0015112978221643284,0.9964785920294923,0.46720545887947085,0.45141565004984535,0.37050646742184956,0.4801204899946849,0.45751369595527647,0.9270405848821004,0.7112237930297851,0.948726479212443,0.9125485142072042,0.728961726029714,0.9333333333333333,-0.0024911227713649473,1.0703033129374186
8,0.42022010035816537,0.37650375643462397,0.1846298419613091,0.4254491070650971,0.4228441115216459,0.9988518143666598,1.0441598389564737,1.002369295000971,0.9938240817614964,0.7513350575676191,0.947237910431208,0.00041486538181958874,1.006426472505955,0.46415031552314756,0.4428038954734802,0.3367545366287231,0.4784440239270528,0.45410319964090984,0.9269185940424601,0.7119430899620056,0.9486125508944193,0.9123902757962544,0.7398906985918681,0.9383196910222371,0.0006339018698781728,1.0408070007960002
9,0.4163693246338194,0.37272575033577254,0.18109255235087912,0.4216643195015572,0.4189169004566883,0.9981024662162546,1.0480440875356054,1.0013697664159038,0.9931704168913686,0.7535230063944245,0.9483075787746488,0.0029189953045552163,0.9990980507298619,0.4653095026810964,0.4437939782937368,0.33722310662269595,0.47941394249598185,0.4554746607939402,0.9268516182899476,0.710940170288086,0.9485175768534343,0.9123827219009399,0.7351776202519734,0.9363387942314148,0.00014665618849297364,1.056783882776896
10,0.4133986852808984,0.36857147646669225,0.17060330827608594,0.41991823359226393,0.4149723060491706,0.9972344725896861,1.0410780140626448,1.0004057339730972,0.9926017841606876,0.7494469373991038,0.9465896315758499,0.0003047537838223469,1.0067536439626923,0.4682580570379893,0.4499623696009318,0.356222540140152,0.48321331342061363,0.4570372819900513,0.9273757219314576,0.716418711344401,0.9493935187657674,0.9123899340629578,0.7400956193606059,0.9381147344907125,-0.0015983743340863535,1.0434194882710774
11,0.4095433725323114,0.3634953010040996,0.1605942109493825,0.4158047176179353,0.41158031864856887,0.9965916131901611,1.0360903990958152,1.0001344783908355,0.9917321540433701,0.75405784676821,0.9486884440871317,0.0003667417844620248,0.9923794839974978,0.4729512890179952,0.46115103165308635,0.39739603400230405,0.4857274889945984,0.46269360979398094,0.9279430031776428,0.7212904254595439,0.9497386455535889,0.9130359411239624,0.7228141903877259,0.9305327693621318,-0.0007582539576105774,1.0904577493667602
12,0.40576459792246045,0.3571577600571288,0.14306170226351436,0.41229810294277647,0.40798788613101605,0.9954106252616547,1.0255930170939809,0.9987326399913473,0.9910825010107345,0.7487905503380021,0.9475296422566627,0.0007136987876266727,1.0037377768086138,0.47300737698872886,0.45887547731399536,0.3842683811982473,0.48664981524149575,0.46232297221819557,0.9279856085777283,0.7221012393633525,0.949731993675232,0.9131018042564392,0.7309426069259644,0.9332650303840637,-0.0015806187642738224,1.070708441734314
