finalist_id,candidate_id,window_group,architecture,window_size,latent_dim,family,hidden_dims,dropout,training_weights,market_weight,sector_weight,idio_weight,learning_rate,beta_kl,phase1_best_epoch,phase1_val_selection_score,best_epoch,best_validation_score,val_selection_score,weighted_validation_loss,val_market_loss,val_sector_loss,val_idio_loss,val_kl_loss,val_common_feature_mse,n_parameters,training_time_seconds,checkpoint,history_path,scaler_path
0,4,window_5,gru_128,5,64,single_branch,[128],0.0,"{'market': 0.2, 'sector': 0.5, 'idio': 0.3}",0.2,0.5,0.3,0.0005,0.001,200,0.3386065661907196,520,0.2986014187335968,0.2986014187335968,0.3165108263492584,0.04500593990087509,0.23822462558746338,0.6125736832618713,4.625214576721191,0.41916319727897644,172221,600.4196678000153,..\models\vae\refinement_search_by_window\checkpoints\refined_window_05.pt,..\models\vae\refinement_search_by_window\histories\refined_window_05.csv,..\models\vae\refinement_search_by_window\scalers\refined_window_05.joblib
1,34,window_7,gru_128_128,7,64,single_branch,"[128, 128]",0.1,"{'market': 0.2, 'sector': 0.5, 'idio': 0.3}",0.2,0.5,0.3,0.0005,0.001,185,0.5451509356498718,740,0.5374318957328796,0.5374318957328796,0.5794634819030762,0.23721221089363098,0.579196035861969,0.7958874702453613,3.6567542552948,0.6801592111587524,370365,2195.3700729000266,..\models\vae\refinement_search_by_window\checkpoints\refined_window_07.pt,..\models\vae\refinement_search_by_window\histories\refined_window_07.csv,..\models\vae\refinement_search_by_window\scalers\refined_window_07.joblib
2,88,window_10,gru_256_256,10,48,single_branch,"[256, 256]",0.2,"{'market': 0.2, 'sector': 0.5, 'idio': 0.3}",0.2,0.5,0.3,0.0005,0.001,169,0.6769430041313171,272,0.6956459879875183,0.6956459879875183,0.7306022047996521,0.5023883581161499,0.7569984197616577,0.827551007270813,3.360008478164673,0.7875224947929382,1309853,734.0518421999877,..\models\vae\refinement_search_by_window\checkpoints\refined_window_10.pt,..\models\vae\refinement_search_by_window\histories\refined_window_10.csv,..\models\vae\refinement_search_by_window\scalers\refined_window_10.joblib
3,94,window_12_or_15,gru_256_256,12,64,single_branch,"[256, 256]",0.2,"{'market': 0.2, 'sector': 0.5, 'idio': 0.3}",0.2,0.5,0.3,0.0005,0.001,68,0.734126091003418,119,0.7248706221580505,0.7248706221580505,0.7455201745033264,0.60484778881073,0.7542153596878052,0.8155486583709717,2.7783219814300537,0.7819305658340454,1330365,538.0619015000411,..\models\vae\refinement_search_by_window\checkpoints\refined_window_12.pt,..\models\vae\refinement_search_by_window\histories\refined_window_12.csv,..\models\vae\refinement_search_by_window\scalers\refined_window_12.joblib
