epoch,learning_rate,train_total_nll,train_selection_score,train_market_nll,train_sector_nll,train_idio_nll,train_mse,train_market_mse,train_sector_mse,train_idio_mse,train_coverage_68,train_coverage_95,train_standardized_residual_mean,train_standardized_residual_std,val_total_nll,val_selection_score,val_market_nll,val_sector_nll,val_idio_nll,val_mse,val_market_mse,val_sector_mse,val_idio_mse,val_coverage_68,val_coverage_95,val_standardized_residual_mean,val_standardized_residual_std
1,0.0002,0.5491102011668251,0.5606678380750028,0.6038290825780507,0.5549153716128,0.5414810915670071,1.070978693555512,1.1601260091186663,1.0782692408600307,1.0607165046723803,0.7621367196424291,0.9438712614263256,-0.006623342726291678,1.0486042009323786,0.4839745547090258,0.4646988255637033,0.3700185332979475,0.4958538157599313,0.47589401262147085,0.952697251524244,0.748151251247951,0.9818544813564846,0.9303589122635978,0.7610655682427543,0.9479654686791557,-0.006865047317530427,0.9840356452124459
2,0.0002,0.5470211310960509,0.5600446033529249,0.6100236150424544,0.5522859474484237,0.5396563445498862,1.0673909222700115,1.1607568001528399,1.0748805261854861,1.0567894288159292,0.7631364241202201,0.9444003128966832,-0.006393446469919719,1.045876372844801,0.4817612426621573,0.4623826657022749,0.36724933981895447,0.4936546640736716,0.47368493250438143,0.9494103022984096,0.742497444152832,0.9784902589661735,0.9272284252302987,0.761987703187125,0.9486387627465385,-0.006149916909635067,0.9813649569238935
3,0.0002,0.5430749916605736,0.5514082544183191,0.5817010386274495,0.5480467603133294,0.5368155134541244,1.0629285120410785,1.1537400209382618,1.0697878177141538,1.0530421735142863,0.764771350544334,0.9444728464097251,-0.005672213052742734,1.041733240798172,0.4800192969185965,0.46063005924224854,0.36545409900801523,0.4919099680015019,0.4719474698816027,0.946809036391122,0.7382731863430568,0.9758237855775016,0.9247452786990574,0.763275751045772,0.9488437005451748,-0.005393995504294123,0.9791526624134609
4,0.0002,0.5415703922236731,0.55105685917545,0.5864911655670748,0.5463279094878751,0.535315525866301,1.0612033159746972,1.1550649454062267,1.0681053246926824,1.0511725591892689,0.7658772230534314,0.9450850600303345,-0.004828699269742618,1.0401424733741953,0.4785832975591932,0.459163418837956,0.36387963805879864,0.49045242582048687,0.47053757309913635,0.944679856300354,0.7347223928996495,0.9736402630805969,0.9227177926472255,0.7640661512102399,0.9491510731833321,-0.004778006247111729,0.9773532748222351
5,0.0002,0.5394322348811854,0.5482285004722319,0.581575327349301,0.5433777551424548,0.5340818468294334,1.0578812282920462,1.1481215275112384,1.0642262517087084,1.0485280661150629,0.7664752723201828,0.9452850124479563,-0.004264199016620775,1.037584837938217,0.477418269429888,0.45802497012274607,0.3628471451146262,0.4892938733100891,0.46936196088790894,0.942891606262752,0.7319769178118024,0.9718534094946725,0.9209597195897784,0.7645638244492667,0.9494291543960571,-0.00426673682938729,0.9759933948516846
6,0.0002,0.5369141292906554,0.5446021135150582,0.5723034937640363,0.5417340225100324,0.5309146268909453,1.0558593572311896,1.1473224740766925,1.0625008472673196,1.0461691823831714,0.7674484471018997,0.9456972708524528,-0.0038308275709480564,1.0352974192747475,0.47644551736967905,0.45707043579646517,0.36193742070879253,0.4883527628013066,0.4683551958629063,0.941391578742436,0.7294063653264727,0.9703776240348816,0.9194719621113369,0.7649004629680088,0.9497219238962445,-0.0039427791988211015,0.9747652837208339
7,0.0002,0.5368292624089631,0.5410614505016154,0.5552991178154109,0.5404435995135897,0.5325994075341799,1.0551004117074299,1.136715712125277,1.0616172223688136,1.045862928507332,0.7679261801632687,0.9456441951518566,-0.003448039656168245,1.0342362627620254,0.4755895904132298,0.4562086207526071,0.36102298753602163,0.48752344506127493,0.4674743584224156,0.9400790844644819,0.7271705184664045,0.9690853953361511,0.918169515473502,0.7654127563749041,0.9497950758252826,-0.0036342094452785595,0.9737004297120231
8,0.0002,0.5349158291487326,0.5401343383212638,0.5582778804764127,0.5388144612054985,0.530238355743647,1.0532067274957235,1.1370327460463472,1.0596441250521624,1.043975108453408,0.7684693845040208,0.9458264346323461,-0.003334740650751143,1.0326511452021756,0.47483669434274944,0.455412038734981,0.36002364328929354,0.4867859355040959,0.466714437518801,0.9389147503035409,0.7249896441187177,0.9679603917258126,0.9170001319476536,0.7659397125244141,0.9498097045081002,-0.0033544661211115973,0.9727265919957843
9,0.0002,0.5329365592612747,0.5386124626726829,0.5587398501518155,0.5368027674206128,0.5282103376844028,1.0509781609080768,1.1426183599687176,1.0581793989031236,1.040722095509574,0.7691169850451844,0.9459980696648825,-0.002775192141122774,1.0301486781270068,0.474164285830089,0.45475157669612337,0.35940128564834595,0.48612503920282635,0.4660292778696333,0.9378595522471836,0.7232518451554435,0.9669411437852042,0.9159315569060189,0.7662324564797538,0.9499121819223676,-0.003089689483333911,0.9717589276177543
10,0.0002,0.5329275431339636,0.5367767522609111,0.5489508709872792,0.5369513979230902,0.5283695688070121,1.050871500438828,1.1371252572800234,1.0580321833435034,1.0408357029918458,0.7693735362707571,0.9463342573600271,-0.002355267827083252,1.0307030237756802,0.4735524569238935,0.4541616269520351,0.35892423561641146,0.48549547365733553,0.46543020009994507,0.9368592841284615,0.7218093531472343,0.9659629804747445,0.9149242128644671,0.7666861585208348,0.9500438911574227,-0.0028730264997908045,0.9708778176988874
11,0.0002,0.5315268073799928,0.5364232351505879,0.5522651222674704,0.5363075916212569,0.5260547053408635,1.0493349773589173,1.1352877358263143,1.0558021809047322,1.040002657604166,0.7698371294891905,0.9465129696480081,-0.002623667622224317,1.0280064507812279,0.4729569596903665,0.4535796046257019,0.35836160608700346,0.4849362203053066,0.46479719451495577,0.9359483804021563,0.7204246946743557,0.9651012080056327,0.9139799220221383,0.7671692030770438,0.9500878197806222,-0.0026943713559636046,0.97008216381073
12,0.0002,0.531350160651894,0.5334164414673449,0.5374469697893599,0.5358895028982044,0.5266076510845489,1.0482059273923081,1.1324940637453658,1.0552433217401704,1.0383588376073534,0.7706846721225086,0.9465395107632126,-0.0022380793653378295,1.0276827431342697,0.47246225816862925,0.4530973264149257,0.35790060247693745,0.4844710997172764,0.464272141456604,0.9351576140948704,0.7193162015506199,0.9643888303211757,0.9131209594862801,0.7674912129129682,0.9501902631350926,-0.0025552835847650257,0.9693498611450195
13,0.0002,0.5300459908236057,0.5329004361767159,0.5406056301245095,0.5342864820877411,0.5254535483014435,1.047011496823862,1.1322428354107876,1.0538474832170408,1.037334466231429,0.7707289054274109,0.9466527461104951,-0.0021600055219193432,1.0271166361349695,0.4719851953642709,0.4525529827390398,0.35706205453191486,0.48400147897856577,0.463799387216568,0.934424877166748,0.7180142147200448,0.9637073448726109,0.9123561041695731,0.7679596032415118,0.9501902716500419,-0.002492015715688467,0.9687983053071159
14,0.0002,0.5286049217838117,0.5315954016146631,0.5392504884819693,0.533443976304239,0.5234110134714562,1.0459136392255763,1.138121963898298,1.052607649735226,1.0361459909486437,0.771307490191071,0.946797834720344,-0.0020785906944671196,1.0245267524631745,0.4715227782726288,0.4520474374294281,0.3563509966645922,0.4835588889462607,0.4633260113852365,0.9337148155484881,0.7168272648538861,0.9630660159247262,0.9115933009556362,0.7682523216520037,0.9502927320344108,-0.002476508795682873,0.968234292098454
