epoch,learning_rate,train_total_nll,train_selection_score,train_market_nll,train_sector_nll,train_idio_nll,train_mse,train_market_mse,train_sector_mse,train_idio_mse,train_coverage_68,train_coverage_95,train_standardized_residual_mean,train_standardized_residual_std,val_total_nll,val_selection_score,val_market_nll,val_sector_nll,val_idio_nll,val_mse,val_market_mse,val_sector_mse,val_idio_mse,val_coverage_68,val_coverage_95,val_standardized_residual_mean,val_standardized_residual_std
1,0.0002,0.5533439575618679,0.5607575449159801,0.5891910163915529,0.5563571467743857,0.5491358710446238,1.0707197342539103,1.1565737815862793,1.0785793219232829,1.0599982212338153,0.7626048205024575,0.9444654255235616,-0.014907104544736411,1.0406081897444561,0.4926955657345908,0.4754612956728254,0.38674648318971905,0.5071760841778347,0.4817465458597456,0.9585416146687099,0.7444790005683899,0.991401731967926,0.9328168715749469,0.7630854845046997,0.9479069028581891,-0.01443057507276535,0.9808958343097142
2,0.0002,0.5462954392875089,0.5549069560312699,0.5888967050293806,0.5488815731075686,0.5422894045046763,1.061535812620621,1.147326911344201,1.0682574218502425,1.0519548503789788,0.7661605191670255,0.9456405838940978,-0.011674144819829016,1.0335051298019402,0.48861877407346455,0.4716654590197972,0.3843461147376469,0.5029111419405256,0.4778020977973938,0.9527209486280169,0.7401712707110814,0.9849789312907627,0.9275486384119306,0.7653249246733529,0.9481996553284782,-0.010934808823679174,0.976080868925367
3,0.0002,0.5389973716557606,0.5461421178904668,0.5743069844067676,0.541176847842676,0.5356409329362118,1.053422531651889,1.1362164334889504,1.0600813076670696,1.0440040253640686,0.7688734498441494,0.9466159703544758,-0.008478219346565332,1.0263680418637613,0.4856999090739659,0.468878584248679,0.3821814102785928,0.4999356397560665,0.47491486583437237,0.948658653667995,0.7368863565581185,0.9804929665156773,0.9238830634525844,0.766686201095581,0.9486973030226571,-0.008325222613556045,0.9728104897907802
4,0.0002,0.5361862713962229,0.5428818087668158,0.5692466052751692,0.5382566086097186,0.533013935615268,1.0493704243555964,1.1376139373579088,1.0554961665617888,1.0403033350286761,0.770468301517928,0.9470692520805707,-0.007174195225087805,1.023783767949723,0.48361489176750183,0.4668184093066624,0.38020521828106474,0.4978715990270887,0.4728051551750728,0.9458206295967102,0.7339977707181659,0.9774045859064374,0.9212977801050458,0.7673887695584979,0.9491657018661499,-0.006451482751539775,0.9702976516314915
5,0.0002,0.5335157791956595,0.5402357494043681,0.5669652749133366,0.5353384964660199,0.5305781243278378,1.046245091521795,1.1338271778544218,1.0515688709643825,1.0380017961896633,0.7718449108001213,0.9475879993306876,-0.005246745535976998,1.0204537575268098,0.4819509131567819,0.46521036539758953,0.3787756221635001,0.4962641511644636,0.4710771824632372,0.9436805674007961,0.7320457015718732,0.9751130257334027,0.9193027700696673,0.7682376844542367,0.9494730659893581,-0.004840897096853171,0.9684409158570426
6,0.0002,0.5322493676704684,0.5368353241355494,0.5546780576690062,0.5338719173754659,0.529879139346217,1.0437842849212857,1.1286028102002141,1.0498458260581607,1.0348954170225098,0.7724778242924246,0.9478549210767653,-0.004141307215378474,1.0195193229671387,0.48083628926958355,0.4640974061829703,0.3775446372372763,0.4952691452843802,0.4698463720934732,0.9421496731894357,0.7297661985669818,0.97349956205913,0.9178789513451713,0.7690573590142387,0.949824333190918,-0.0035240856232121587,0.9671864594732013
7,0.0002,0.5292267584825135,0.5345704594576475,0.5557292523410952,0.5307678606836111,0.5268022237041334,1.041043640586943,1.123193895883946,1.04637520452432,1.032973584186341,0.7735337824682303,0.9480328684089981,-0.003165137666743487,1.015596219715679,0.4800270199775696,0.4631204775401524,0.37578393731798443,0.49452490891729084,0.46900409885815214,0.9410354835646493,0.7273197940417698,0.9722750953265599,0.9169191207204547,0.7695696694510323,0.9500292624746051,-0.002901376898600055,0.9662089262689862
8,0.0002,0.5282167016361167,0.5349127449747604,0.562278832921723,0.5293378797452754,0.5259600948719751,1.0399136958949944,1.1251286125708042,1.0451479089669062,1.031838994360678,0.7741583002816087,0.9483417692211306,-0.0025852582876652068,1.014936758351216,0.479337534734181,0.462527334690094,0.37548209939684185,0.49394942607198444,0.4681873023509979,0.94004545041493,0.725923206124987,0.9713255592754909,0.9159026912280491,0.7700526884623936,0.9501902716500419,-0.002612242325475173,0.9652475033487592
9,0.0002,0.5269156618723794,0.5307337742735653,0.5446128960578672,0.5291939206570158,0.5240474174832053,1.0386173032945203,1.1207903952581482,1.044694560830311,1.0298009226399083,0.7746031777833098,0.9482259331333045,-0.0021558917576759,1.0137704033395052,0.4785104606832777,0.4617345758846828,0.3747854615960802,0.49317003999437603,0.46730816790035795,0.9390367184366498,0.7254062294960022,0.9703303234917777,0.914864216532026,0.7703161495072501,0.9502634661538261,-0.0023115276792720707,0.9646673032215664
10,0.0002,0.5263665758580717,0.5302317633545832,0.5452157518861236,0.5277856520305092,0.5243192589167015,1.037506222297641,1.1153415738162906,1.0428885177228002,1.0295293824952259,0.7749338941395862,0.9486825675214796,-0.0019366816315691225,1.0135327335571058,0.4779386818408966,0.4611682508672987,0.3742358088493347,0.4926042854785919,0.46672976442745756,0.9382256014006478,0.7245676176888602,0.9694754821913583,0.9140981265476772,0.7704479013170514,0.9505269357136318,-0.0018271678252079124,0.9640171613012042
