epoch,train_total_loss,val_total_loss,train_reconstruction_loss,val_reconstruction_loss,train_common_reconstruction_loss,val_common_reconstruction_loss,train_kl_loss,val_kl_loss,train_market_loss,val_market_loss,train_sector_loss,val_sector_loss,train_idio_loss,val_idio_loss
1,0.9972548388864105,0.9224388599395752,0.9972450694317567,0.9224273562431335,0.9955457836647836,0.8608441352844238,0.009768915582898724,0.01148192211985588,1.0008193456186916,1.051964282989502,0.9941326956880816,0.8701712489128113,0.9967830887128143,0.8451462984085083
2,0.9940647469834262,0.9208915829658508,0.9940472290725487,0.9208680987358093,0.9915003024296872,0.8588829040527344,0.017514741748534495,0.023509949445724487,0.9994044358504984,1.0512504577636719,0.9899864977566211,0.8672168254852295,0.9927506600339404,0.8441368937492371
3,0.9884430362919466,0.899886429309845,0.9883859863568573,0.8998069167137146,0.9892857961796356,0.8570452332496643,0.057056632820014073,0.07950714230537415,0.9864930816293008,0.989753782749176,0.987422511172206,0.8657297492027283,0.9912422067903557,0.8439372181892395
4,0.9791629463987709,0.8942793607711792,0.9790096091574694,0.8941096663475037,0.9864101927978068,0.8558929562568665,0.15334277874027163,0.16969522833824158,0.963442730204999,0.9744961857795715,0.9835370324930277,0.862862229347229,0.990048929821397,0.8449704051017761
5,0.9743601959006529,0.8888756036758423,0.9741224124812411,0.88862544298172,0.9837281336924089,0.8531568050384521,0.2377786383223445,0.25013747811317444,0.9539171803159946,0.9632318615913391,0.9790253026201072,0.8586902022361755,0.9894246470077048,0.8439542055130005
6,0.9716668765848941,0.8906452655792236,0.9713451721625932,0.8903056979179382,0.9818417871977444,0.8528410792350769,0.32170032293797524,0.33954286575317383,0.9492659693752199,0.9691105484962463,0.9763757922262679,0.8581932783126831,0.9883936392685327,0.8436132073402405
7,0.9690199558566633,0.8850369453430176,0.9685885218416813,0.8845785856246948,0.9791298587116584,0.8514294624328613,0.4314453739102498,0.4583721458911896,0.9464153231444853,0.9543061256408691,0.9720664752006924,0.8562594652175903,0.9872837082394086,0.843170166015625
8,0.9670546265658002,0.887987494468689,0.9664915925798169,0.8874028921127319,0.977573255812684,0.8512008786201477,0.5630359136512149,0.5845809578895569,0.9431817949039603,0.9635518193244934,0.9698305176989972,0.8559784293174744,0.9864623708957195,0.8426783680915833
9,0.9657735380317571,0.8857287764549255,0.965113527608518,0.8850571513175964,0.9766178745599606,0.8516788482666016,0.660010586260175,0.6716472506523132,0.9409146686747603,0.9552667737007141,0.9685014307228337,0.8566948771476746,0.9859244020035381,0.8432098031044006
10,0.9648261064593574,0.8869311809539795,0.9640997734337468,0.8862093687057495,0.9758608061274466,0.8514195680618286,0.726324517373649,0.7218406796455383,0.9393609203782596,0.9593876004219055,0.9674378124043019,0.8568286299705505,0.9855004746068671,0.8424116969108582
11,0.9640212022367707,0.8820974826812744,0.9632420419810284,0.8813226222991943,0.9750415897546502,0.8496600389480591,0.7791544164550536,0.7748468518257141,0.9384222246623463,0.9479231238365173,0.9662195643855184,0.8547848463058472,0.9850842489519249,0.841259777545929
12,0.9628343808468934,0.8812130689620972,0.9620108525466683,0.8803920745849609,0.9743784736662033,0.8491290807723999,0.8235288680805138,0.8210204839706421,0.9359960735360797,0.9461520314216614,0.9653424164799191,0.8530555367469788,0.9846939515634553,0.8419685363769531
13,0.9604150421895914,0.8732013702392578,0.9595456572539345,0.87232506275177,0.9732586682654588,0.8467506170272827,0.869380686827253,0.8762859106063843,0.9307009966915617,0.9261194467544556,0.963791588884811,0.8497557640075684,0.9841443236534427,0.8410998582839966
14,0.9563585115374488,0.8634228706359863,0.955407716595236,0.8624555468559265,0.9723956077934246,0.8460933566093445,0.9507914317377432,0.9673335552215576,0.9196744036979534,0.8968725800514221,0.9626976291207405,0.8492416143417358,0.9838510033910155,0.8412524461746216
15,0.9525618498058689,0.8540153503417969,0.9515193043983136,0.852968692779541,0.9716858825947301,0.8448649048805237,1.0425461284690192,1.0466290712356567,0.9090998396615672,0.8700144290924072,0.9617185433738448,0.8484514355659485,0.9837394113930306,0.8404401540756226
16,0.9493658936225429,0.8500678539276123,0.9482618630350595,0.8489521145820618,0.9709601432294133,0.8445510268211365,1.1040412152644972,1.1157410144805908,0.9005170403262873,0.8582092523574829,0.9611351119059942,0.8485127687454224,0.9831333046258602,0.8401341438293457
17,0.9470922345225593,0.8484971523284912,0.9459075344233684,0.8472760915756226,0.9703184353434444,0.8441542983055115,1.1847055740608345,1.221036434173584,0.8945604516512295,0.8538426160812378,0.9603762767111227,0.8476199507713318,0.9827857878500402,0.8403656482696533
18,0.9451815365662616,0.8446562886238098,0.9439352879187709,0.8433949947357178,0.9696103701205772,0.8433576226234436,1.246244341442519,1.2612649202346802,0.8899289844845919,0.8434737920761108,0.9596343353372244,0.8463156819343567,0.9822424280953417,0.840395450592041
19,0.9457949154444878,0.8471383452415466,0.9445005751226837,0.845834493637085,0.9692876266390147,0.8435977697372437,1.2943457415711028,1.3038257360458374,0.8923622018977034,0.8505392074584961,0.9591812103236455,0.8464433550834656,0.9819582128298464,0.8405208587646484
20,0.944694150689708,0.8432533740997314,0.9433742634678398,0.8419355750083923,0.9688571150815541,0.8432881832122803,1.3198890050383476,1.3177716732025146,0.8897722716475143,0.8390904068946838,0.9587399824758822,0.8461706638336182,0.9816104361846631,0.8405454754829407
21,0.9419475306767942,0.841685950756073,0.9405937010819785,0.840308666229248,0.9680995229251907,0.8437216877937317,1.3538274018665113,1.3773049116134644,0.8827364396517601,0.8331295251846313,0.9581741640698649,0.8469012379646301,0.9808703641285347,0.8408951759338379
22,0.9425942473946846,0.8448883891105652,0.9412043749720314,0.8434685468673706,0.9676657627300935,0.8426929116249084,1.3898806114901308,1.41985023021698,0.8855441280548798,0.8451001644134521,0.9576480200701,0.8449206948280334,0.9804208856990797,0.8403847813606262
23,0.9415377280311648,0.8385308384895325,0.940124199255606,0.8371309638023376,0.967447052477216,0.8430027365684509,1.4135298555270237,1.3998520374298096,0.882651902234018,0.8247801065444946,0.9574812720297192,0.8449788093566895,0.980239348154741,0.8416339159011841
24,0.9385748527977912,0.8371099829673767,0.9371469909870275,0.835640549659729,0.9666718538516915,0.8427029252052307,1.4278556958142263,1.4694260358810425,0.8750428773625745,0.8207850456237793,0.9567883396955545,0.8451920747756958,0.9796096551433064,0.8409442901611328
25,0.9369371595384658,0.8361944556236267,0.9354707029945242,0.8347063660621643,0.9664571996912009,0.8424436450004578,1.4664539639929135,1.4880714416503906,0.8702920926438842,0.8184312582015991,0.9569906888055348,0.8443477749824524,0.979129214400946,0.8413400650024414
26,0.9344182128361125,0.8325972557067871,0.9329396497598129,0.8310811519622803,0.9657487702723923,0.8427188396453857,1.4785579317028346,1.5160895586013794,0.8639272610313676,0.806601881980896,0.9562472149305387,0.8449402451515198,0.9786444233805003,0.8417012095451355
27,0.9327291647019191,0.8295615315437317,0.9312302686929014,0.8280178308486938,0.9653736229430926,0.8447242379188538,1.498891350704434,1.5436820983886719,0.8594113714528684,0.7928765416145325,0.9560399394954378,0.8478147983551025,0.9782394141487676,0.843362033367157
28,0.9339792329419806,0.8284655809402466,0.932446862959537,0.8268877863883972,0.9655332563339656,0.8446010947227478,1.5323775597854532,1.5778037309646606,0.862851234147532,0.7896291017532349,0.9562990588193289,0.8484428524971008,0.9781902176360675,0.8425914645195007
29,0.9366516189736568,0.830321192741394,0.9350888114107379,0.8287061452865601,0.9663597906713293,0.8457754850387573,1.562811015855661,1.615034818649292,0.8693118514081835,0.7928016185760498,0.9573723209135502,0.8502273559570312,0.9785821894894835,0.8430894613265991
30,0.9318353067091857,0.8246194124221802,0.9302753108717713,0.8230363130569458,0.9658814455623524,0.8470303416252136,1.5599974692974807,1.5830703973770142,0.8553795542443433,0.772566020488739,0.9571251658629741,0.8517946004867554,0.978321140972583,0.8447481393814087
31,0.9248587565386635,0.8214208483695984,0.9233111666098046,0.8197911381721497,0.9643784122087224,0.8457768559455872,1.5475884297146956,1.6297359466552734,0.8369282249375114,0.7651315331459045,0.9557949370999401,0.8510004281997681,0.9772102498486669,0.8432412147521973
32,0.9284029699926577,0.8241456151008606,0.926804571224548,0.8225027322769165,0.9655800386740558,0.8483368158340454,1.598396378364437,1.6428806781768799,0.8452422413951939,0.7681623101234436,0.957132061379929,0.8533411026000977,0.9780392916892315,0.846004843711853
33,0.9216357553197094,0.8185957670211792,0.9200281463671065,0.8168849349021912,0.9632634431726422,0.845492959022522,1.607607144292012,1.7108454704284668,0.8290848093882996,0.7567091584205627,0.9544185030032326,0.8505882024765015,0.9765809980542808,0.843357503414154
34,0.9179789885921612,0.8163274526596069,0.9163129703348154,0.8145761489868164,0.9623699126733614,0.8445678353309631,1.6660067137735126,1.7512954473495483,0.8194344863633799,0.7514901161193848,0.9534883705043518,0.8502475023269653,0.9760159787883751,0.8419908285140991
35,0.9167837704010262,0.8157835602760315,0.9150933779520877,0.8139843940734863,0.9617936281541926,0.8438022136688232,1.69039452139917,1.79915189743042,0.8168616914276835,0.7512639164924622,0.9529832475105692,0.8490394949913025,0.9754350851549376,0.8416497111320496
36,0.9167223006695988,0.8149343132972717,0.9149680169121667,0.8131046295166016,0.9611993352342527,0.8433716297149658,1.7542725090541675,1.8297091722488403,0.8177227776649812,0.7494393587112427,0.9520287790477546,0.8486176133155823,0.9751524279002458,0.8412566781044006
37,0.913767336421499,0.8076565265655518,0.912011016118738,0.8058149814605713,0.9602181600038542,0.8435115218162537,1.7563235619517825,1.841528058052063,0.8106096600679342,0.7265222668647766,0.9509141690663154,0.8487404584884644,0.9745091283513256,0.8421821594238281
38,0.9139508532926753,0.8160281181335449,0.9121726584050757,0.8141710162162781,0.9603723416729895,0.8432956337928772,1.7782023533582196,1.8571085929870605,0.8107869934553555,0.7529087662696838,0.9511598284412798,0.8482499718666077,0.9745710305177717,0.8413541913032532
