epoch,train_total_loss,val_total_loss,train_reconstruction_loss,val_reconstruction_loss,train_selection_score,val_selection_score,train_common_reconstruction_loss,val_common_reconstruction_loss,train_common_total_loss,val_common_total_loss,train_kl_loss,val_kl_loss,train_market_loss,val_market_loss,train_sector_loss,val_sector_loss,train_idio_loss,val_idio_loss
1,1.0055060425703215,0.9151774644851685,1.005492946902027,0.9151622653007507,1.0053088226831253,0.9384112358093262,1.0072584170539323,0.8778150081634521,1.0072715158073033,0.8778302073478699,0.01308954643289714,0.01517363078892231,1.0012079498761104,1.065872311592102,1.0041788594712142,0.8858969807624817,1.0105396647516938,0.8634644746780396
2,0.9897306221147515,0.9033135771751404,0.9897064817515743,0.9032801389694214,0.9899046787162855,0.9293931126594543,0.9926499920579716,0.8646157383918762,0.9926741324211488,0.8646491765975952,0.02414419561220816,0.03341144323348999,0.9841300815018478,1.0656490325927734,0.9860263554325868,0.8669559955596924,0.9995575808244729,0.8555743098258972
3,0.9682693813332073,0.8778463006019592,0.9682015963425966,0.8777462840080261,0.9702775634545042,0.9027186036109924,0.9730360413725637,0.8460681438446045,0.9731038263631744,0.8461681604385376,0.06777929650522464,0.10002060234546661,0.9644752410178333,1.021880030632019,0.9569964945388622,0.8374376893043518,0.9893609002636263,0.8488380312919617
4,0.9397943181351424,0.846231997013092,0.9396107844673955,0.8460217714309692,0.941900479663397,0.8653085231781006,0.9501293377745166,0.8272255659103394,0.9503128714422634,0.8274357914924622,0.18353637020765312,0.21024616062641144,0.9245915329509354,0.9454140663146973,0.9217974739281022,0.8089275360107422,0.9793124217472239,0.8415840268135071
5,0.9202008467910264,0.8243089318275452,0.9199107291001422,0.8239852786064148,0.9174951325049056,0.8348968625068665,0.9393616948733193,0.8185185790061951,0.9396518094791269,0.8188422322273254,0.29011822869986886,0.32367756962776184,0.8714999913735473,0.8693479895591736,0.9065754247781866,0.7975643277168274,0.9744099925945897,0.8377784490585327
6,0.9079881519669711,0.8100237846374512,0.9075635432522161,0.8095231056213379,0.9026373997421049,0.8167131543159485,0.932138645065684,0.810880720615387,0.9325632568655157,0.8113813996315002,0.42461679833069343,0.5006836652755737,0.8405830214682061,0.8289812803268433,0.8962408989679943,0.7868970632553101,0.971088249915725,0.8342610597610474
7,0.8966695421194192,0.799479603767395,0.8960294929825242,0.7987199425697327,0.8904750507175802,0.8043016791343689,0.9235471928596882,0.804206907749176,0.9241872450816597,0.8049665689468384,0.6400539876476647,0.7596686482429504,0.8209095569790688,0.8045007586479187,0.8834643528329377,0.7764925956726074,0.9670512618393826,0.8319115042686462
8,0.8880992498033402,0.7910196185112,0.8872004876578331,0.790005087852478,0.8822362987656753,0.7949891686439514,0.9156609911500226,0.798051655292511,0.9165597502104531,0.7990661859512329,0.8987637011088007,1.0145426988601685,0.8119291880812377,0.7885472774505615,0.8719035953922017,0.7668477296829224,0.9628761180055513,0.8295724987983704
9,0.8798500037463243,0.787489652633667,0.8787149129201177,0.7862781882286072,0.874407083868643,0.7919672131538391,0.9079403806397947,0.7944784760475159,0.9090754714660012,0.7956899404525757,1.1350857414699882,1.211473822593689,0.8038715384674612,0.786685049533844,0.8606783182718375,0.7608808279037476,0.9586714267055853,0.8283358216285706
10,0.8723659048763017,0.7823935151100159,0.8710594826558318,0.7810143232345581,0.8670069341518789,0.7862891554832458,0.9010857787876538,0.7909285426139832,0.9023921979230471,0.7923077344894409,1.3064174458800275,1.3791738748550415,0.7953238294185341,0.7765305042266846,0.8514280562163653,0.7550358772277832,0.9542689100962345,0.827301025390625
11,0.8672452755558602,0.7791313529014587,0.8657727895648769,0.7775790095329285,0.8610962444454661,0.7812118530273438,0.8972292086203668,0.789772093296051,0.89870169461135,0.7913244366645813,1.472490395074714,1.5523467063903809,0.7850924497594537,0.7632058262825012,0.8464769774296965,0.7540446519851685,0.9517193168847609,0.8263850212097168
12,0.8618205433618766,0.7731923460960388,0.8601707661388087,0.7714804410934448,0.8536617589102937,0.771446943283081,0.8942983743154322,0.7887176871299744,0.8959481515385003,0.7904295921325684,1.6497710144476423,1.7118927240371704,0.7681847585631053,0.735118567943573,0.8434682165472507,0.7534502148628235,0.9493322969929101,0.8257720470428467
13,0.8537001723082404,0.7626588940620422,0.8519240001218791,0.7608170509338379,0.8417108993129213,0.7550877928733826,0.8912506500478221,0.7858757376670837,0.8930268222341834,0.7877175807952881,1.776176846080399,1.8418439626693726,0.7375065978123888,0.6903268098831177,0.840674183627058,0.75135338306427,0.9469519309365118,0.82358318567276
14,0.8426140713103619,0.7530773282051086,0.840722827789902,0.7511009573936462,0.8252384752288213,0.7400541305541992,0.8873622608821111,0.783325731754303,0.889253504402571,0.7853021025657654,1.8912477796973364,1.9763528108596802,0.694564357538528,0.6490346193313599,0.8373231115343115,0.7497786283493042,0.9438279643263163,0.821349024772644
15,0.8330236865690349,0.7438573837280273,0.8309816099881066,0.7417442798614502,0.8123273457827185,0.7291279435157776,0.8820742683472346,0.7767431735992432,0.884116344928163,0.7788562774658203,2.042074512480918,2.1131033897399902,0.6656182860730392,0.6289718747138977,0.8322440495242294,0.7421315908432007,0.9391197028595862,0.8162803053855896
16,0.8245708621372542,0.7378783226013184,0.82239983877671,0.735641598701477,0.8022986408963263,0.7218849062919617,0.8755272008415373,0.7724051475524902,0.8776982251902703,0.7746418714523315,2.1710268409927993,2.2367446422576904,0.6482661449615164,0.6156182885169983,0.8257882992506895,0.7375351190567017,0.9328414810075,0.8125012516975403
17,0.8175992085728335,0.7320016026496887,0.8153182593762899,0.729641318321228,0.7943707780465875,0.7147903442382812,0.8695486375208669,0.7680975198745728,0.8718295867174105,0.7704578042030334,2.2809467986677996,2.360306978225708,0.6362380574841853,0.6026615500450134,0.8200416332596572,0.7329806685447693,0.926832669064722,0.808728814125061
18,0.8114048716658482,0.728001594543457,0.8089907942298352,0.7255100011825562,0.7877362337471067,0.7109937071800232,0.8636628642672235,0.7635051012039185,0.8660769417032365,0.7659966945648193,2.4140764639245513,2.491591215133667,0.6280285266310495,0.6005386114120483,0.8141551054396515,0.7283475995063782,0.9210250778714992,0.8040947318077087
19,0.8040612884923316,0.7224714756011963,0.8015188149387809,0.7198621034622192,0.7801679956059778,0.7055496573448181,0.8568782418833731,0.7588781118392944,0.8594207154369239,0.7614874839782715,2.5424650283270505,2.609379768371582,0.6188119490812821,0.5933760404586792,0.8062439868192753,0.7210252285003662,0.9154480427708455,0.8022476434707642
20,0.7946664011531449,0.713193953037262,0.791982994694677,0.7104213833808899,0.7709220788809533,0.6960417628288269,0.8485540109658308,0.751038134098053,0.8512374174242988,0.753810703754425,2.6834088442926216,2.772549629211426,0.6076273599280262,0.5803593397140503,0.7945792199000625,0.7100987434387207,0.9105596779764686,0.7976670861244202
21,0.7833001893684057,0.701604962348938,0.7804844273134518,0.6987082958221436,0.7588622112819843,0.6829588413238525,0.8398755517171743,0.7437137365341187,0.8426913137721282,0.7466104030609131,2.8157523994353246,2.8966856002807617,0.5884547690317499,0.5551639795303345,0.781769540789057,0.6978084444999695,0.9063623049603364,0.7959041595458984
22,0.7714561590095594,0.6901224255561829,0.7685217766254671,0.687100350856781,0.7450919427275898,0.6682455539703369,0.8321434156257422,0.7371336817741394,0.8350777980098346,0.7401557564735413,2.9343781141534877,3.0220730304718018,0.5619836463843383,0.523343026638031,0.7706868828090154,0.6900681853294373,0.9026053086784848,0.7913255095481873
23,0.7618544627865268,0.6801130771636963,0.7588202563847697,0.6770493984222412,0.7332098301826968,0.6552851796150208,0.8264556702842512,0.7319996356964111,0.8294898766860083,0.7350633144378662,3.0341989371249225,3.0636942386627197,0.5370720121550069,0.4939204156398773,0.7631930048244953,0.6834235787391663,0.8993644817753741,0.7885116934776306
