finalist_id,sample_id,alpha,component_rmse_to_source,temporal_roughness_ratio,returns_volatility_ratio,returns_correlation_difference,market_volatility,sector_volatility,idio_volatility
1,0,0.0,0.008217387094768824,0.5770922754570716,0.7966767865271375,0.37045551544521305,0.005228930152952671,0.00909691583365202,0.004563535563647747
1,0,0.5,0.008201585098770859,0.5772644878228301,0.7922814758395075,0.3718915849653559,0.005224047228693962,0.009055434726178646,0.0045456718653440475
1,0,1.0,0.008190952438260443,0.577637906568926,0.7881864060776607,0.3729590308113146,0.005222886800765991,0.009016880765557289,0.004529827740043402
1,0,1.5,0.008185516179021858,0.5782110819946303,0.7843983242286933,0.3735672059236609,0.005225403234362602,0.008981329388916492,0.004516044165939093
1,1,0.0,0.01320320224853751,0.6446086433058872,0.796953608172182,0.29588417597273053,0.011703087948262691,0.018140053376555443,0.009666631929576397
1,1,0.5,0.01319567572006329,0.6444845987124556,0.7970600256078203,0.2972217768833514,0.011731043457984924,0.01812789961695671,0.009665055200457573
1,1,1.0,0.01318986511123727,0.64436920145847,0.7971559889376906,0.29865668713351884,0.011758506298065186,0.01811591349542141,0.009663905948400497
1,1,1.5,0.01318578442069491,0.6442632268226393,0.7972419672562824,0.30010590077624233,0.011785436421632767,0.01810411363840103,0.009663197211921215
1,2,0.0,0.012144854912403495,0.42099238955301627,0.7939858459437423,0.2738917151202142,0.010570398531854153,0.009355884045362473,0.005995387211441994
1,2,0.5,0.012140302769169753,0.41953611152825326,0.7928394412090912,0.27213279581982125,0.010570814833045006,0.009334895759820938,0.0059846374206244946
1,2,1.0,0.012139323788192432,0.41836769876512153,0.7920361300550967,0.27084214009371793,0.010575756430625916,0.009317022748291492,0.005976684391498566
1,2,1.5,0.012141907316685178,0.41748813226573955,0.7915699336392003,0.27016349171114,0.010585195384919643,0.009302216582000256,0.00597149133682251
4,0,0.0,0.008410906400752578,0.5601920267842827,0.8071469860026705,0.35745756404255646,0.005397918168455362,0.00902512576431036,0.004637159872800112
4,0,0.5,0.008416652816858319,0.5598586560208237,0.803498974417066,0.35819892394555175,0.005296815652400255,0.009031316265463829,0.004657885525375605
4,0,1.0,0.008427642345817592,0.5598352795965696,0.8003668262198623,0.35907681881227205,0.005200414452701807,0.009043366648256779,0.004683205857872963
4,0,1.5,0.008443849938182436,0.5601252801465545,0.7977656518509106,0.35921700538170065,0.005108969751745462,0.00906151533126831,0.004712845664471388
4,1,0.0,0.012962110800343648,0.6391984502907341,0.840241379617495,0.3415834850383494,0.012996161356568336,0.01846524327993393,0.009844431653618813
4,1,0.5,0.012967783218288807,0.6373688521744423,0.839737170054685,0.34197053949533446,0.013040231540799141,0.0184148121625185,0.009820690378546715
4,1,1.0,0.01297569846649345,0.6355707423010984,0.839254538838396,0.34237821723780776,0.013084618374705315,0.018364964053034782,0.009797210805118084
4,1,1.5,0.012985846793394276,0.6338038821234075,0.8387931509011356,0.3428251335582809,0.013129303231835365,0.018315698951482773,0.009773984551429749
4,2,0.0,0.012761442467393035,0.4817938021307712,0.8303354712571228,0.29304443787040896,0.010913749225437641,0.010131684131920338,0.006242161616683006
4,2,0.5,0.012772289467028587,0.4815793158275982,0.8294294977552672,0.29413019093865117,0.01092533115297556,0.010082682594656944,0.006196320056915283
4,2,1.0,0.01278658871223745,0.4814778017283834,0.8285492281662907,0.29525660436498097,0.010937296785414219,0.010034185834228992,0.006151089910417795
4,2,1.5,0.012804352244043124,0.48149067247617716,0.8277017655595575,0.2964745098344096,0.010949726216495037,0.00998625811189413,0.006106552667915821
2,0,0.0,0.008739601458779247,0.5451463077689891,0.8212564119243599,0.36990313096941074,0.006167910061776638,0.009031549096107483,0.005133230704814196
2,0,0.5,0.008746519556768792,0.5453180369011713,0.8170349064355741,0.3730037334548944,0.006077470723539591,0.009059716947376728,0.005141402129083872
2,0,1.0,0.008759746178523214,0.5457623097703941,0.8130812422782862,0.3757369269718543,0.005986795295029879,0.009093757718801498,0.005153059959411621
2,0,1.5,0.008779254049293491,0.5464761665710024,0.8094227588064593,0.3782615597792574,0.005895968992263079,0.009133745916187763,0.00516804214566946
2,1,0.0,0.012932532751901812,0.6588714457143905,0.8575136397646712,0.3126483479445214,0.013133356347680092,0.01840061880648136,0.011213782243430614
2,1,0.5,0.012930310654485619,0.6588772304862958,0.8568975176593447,0.3131531927957413,0.0130811408162117,0.01843905635178089,0.011244726367294788
2,1,1.0,0.012930978309938038,0.6588596972601087,0.8562673227193307,0.31375553573525183,0.0130298538133502,0.018476257100701332,0.011275221593677998
2,1,1.5,0.012934509704950277,0.6588192038567722,0.8556240601471067,0.31442832024852474,0.012979548424482346,0.018512224778532982,0.01130525954067707
2,2,0.0,0.011843028168906701,0.5059851181707661,0.8856893842050332,0.28134223092497607,0.011658723466098309,0.010544775985181332,0.006888845469802618
2,2,0.5,0.011837468847312536,0.5087661806963382,0.884626785468636,0.2812085299519184,0.011579080484807491,0.010607880540192127,0.006913458928465843
2,2,1.0,0.01183581767371007,0.5116329043268913,0.8838564857017586,0.28127785291063584,0.011505017057061195,0.01067259069532156,0.006938923615962267
2,2,1.5,0.01183804430316442,0.5145812865737824,0.8833803245482649,0.2815834109702405,0.011436675675213337,0.010738802142441273,0.006965230219066143
