epoch,learning_rate,train_total_nll,train_selection_score,train_market_nll,train_sector_nll,train_idio_nll,train_mse,train_market_mse,train_sector_mse,train_idio_mse,train_coverage_68,train_coverage_95,train_standardized_residual_mean,train_standardized_residual_std,val_total_nll,val_selection_score,val_market_nll,val_sector_nll,val_idio_nll,val_mse,val_market_mse,val_sector_mse,val_idio_mse,val_coverage_68,val_coverage_95,val_standardized_residual_mean,val_standardized_residual_std
1,0.0002,0.5734076334924487,0.580222971620781,0.599452990216303,0.5827410406379268,0.5632061200790385,1.1006130898764375,1.1600533305344167,1.1116069528262678,1.0876377538546187,0.7514495713544805,0.9399201970967613,0.007590883309438752,1.0718294495321645,0.5031654451574598,0.4805405225072588,0.3632541596889496,0.5229567417076656,0.48803773522377014,0.9716817055429731,0.7310020072119576,1.005539391721998,0.9458461659295219,0.7527078219822475,0.9448331339018685,0.009061690419912338,1.003666843686785
2,0.0002,0.5671321129194158,0.5736337643633388,0.5915743231902043,0.5764202621583995,0.5570292041807385,1.0924800315935164,1.1575787533506856,1.102717508706156,1.0800724812475206,0.75443807931057,0.941057917174943,0.008298070556989279,1.0652510634449064,0.4996061154774257,0.47712998730795725,0.36170500942638945,0.5182312173502786,0.48557789836611065,0.9668019073350089,0.7296702691486904,0.9996040548597064,0.9419039402689252,0.7545521174158368,0.9455796309879848,0.009737942101699966,0.9992254717009408
3,0.0002,0.5623054654934055,0.5686960569022478,0.5882401780315303,0.5696204468422945,0.5541259496197852,1.0872095253296434,1.1621445435095785,1.0955146113023588,1.076406578984186,0.7560216940163408,0.941815225484882,0.008720449515237913,1.0596816776510323,0.49698799422809053,0.474638112953731,0.36074221985680716,0.5146715981619698,0.483846196106502,0.9631257823535374,0.7284242936543056,0.9951417701584953,0.9389328019959586,0.75639637027468,0.9459455609321594,0.010117915059838976,0.9958483321326119
4,0.0002,0.5603826785820983,0.5639019507816272,0.5716738214347405,0.5672523634728392,0.5531366367116208,1.083421952326878,1.1505357544935528,1.0918634486597292,1.072743424002827,0.757819399052675,0.942342504738346,0.008964665348179683,1.0574930183191398,0.49487493293625967,0.47257999011448454,0.3596264932836805,0.5118861326149532,0.4823720668043409,0.9602709838322231,0.7271766066551208,0.9916855096817017,0.936625463621957,0.7572892393384661,0.9462090304919651,0.010534742980131082,0.9932438135147095
5,0.0002,0.5560942214048687,0.5603507444527879,0.572707511866601,0.5615941778235479,0.5500404664103687,1.0781703370040774,1.15078475773817,1.0854675033191572,1.068452869951564,0.759502096749999,0.9430343462078878,0.00945661778079775,1.0532164856091875,0.4932540399687631,0.47099616697856356,0.35871000800813946,0.509781288249152,0.4812116835798536,0.9580283164978027,0.7260170153209141,0.9890630415507725,0.9347275495529175,0.7580357193946838,0.9467359610966274,0.010677632609648364,0.9913467594555446
6,0.0002,0.5529343127818347,0.5564807389982958,0.5655622521864679,0.558669742415933,0.5467780256876094,1.0759484960269876,1.1501630192760255,1.0840239115682604,1.0653993836686988,0.7595516345144541,0.9433492822255949,0.009405298896598304,1.0501320965535823,0.49196814213480267,0.46975100891930716,0.358024320432118,0.50812885590962,0.48027234418051584,0.9562436171940395,0.7251346962792533,0.9869520153318133,0.9332389320646014,0.7592359270368304,0.9469994136265346,0.010863290567483221,0.9898311240332467
7,0.0002,0.5524255124157464,0.5563357910206688,0.5673051738314415,0.5578411054238074,0.5465139898492141,1.0743507258131642,1.1496934868230475,1.0816519522885664,1.064537923141743,0.7609990101470474,0.9436093916844113,0.009568367193363047,1.0494420806974318,0.4909763293606894,0.46882992131369455,0.35771550025258747,0.5068426089627402,0.47955177085740225,0.9548110110419137,0.7243026920727321,0.985313389982496,0.931992633002145,0.7598360691751752,0.9472482289586749,0.01084265485405922,0.9885820405823844
8,0.0002,0.5507786434467458,0.5539858669959334,0.5623518776327484,0.5558200951723942,0.5453514324866047,1.0727181539494348,1.1475125696616628,1.0798009293052355,1.0631419754774585,0.7614926610582272,0.9437332539319091,0.00973614078734816,1.047921044596195,0.4900512525013515,0.467855019228799,0.3567622346537454,0.5056942275592259,0.47885146737098694,0.9535806093897138,0.7232104880469186,0.9839300768715995,0.9309103403772626,0.760392257145473,0.9472628576414925,0.01090243791363069,0.98749669109072
9,0.0002,0.548462166827367,0.5496467889416752,0.5490172242738721,0.5538579893318049,0.5430477903909575,1.0709170002713437,1.144118172699094,1.0776572257714598,1.0617366004363304,0.7619863224878738,0.9439561987206283,0.009619260304826084,1.0452700132173394,0.48924954874174936,0.46705365606716703,0.3560664440904345,0.5047940228666578,0.4781445137092045,0.9524426886013576,0.7221772415297372,0.9827413133212498,0.9298196009227208,0.7608460358210972,0.9474531497274127,0.010710283182561398,0.9866453579493931
10,0.0002,0.5472873968493919,0.5494977536873115,0.5535184030139119,0.5524197168370807,0.54194735496416,1.069453724641383,1.144016267992134,1.0770244361642753,1.0593975829357594,0.7630532703654418,0.944120743277262,0.009173524351886042,1.0439073298984904,0.4885337310177939,0.46640228799411226,0.35571231160845074,0.5040574499538967,0.4774370406355177,0.9513945324080331,0.721362122467586,0.9817448343549456,0.9287116612706866,0.7613729749407087,0.9476141503879002,0.010407505689987115,0.9858451911381313
