epoch,train_total_loss,val_total_loss,train_reconstruction_loss,val_reconstruction_loss,train_selection_score,val_selection_score,train_common_reconstruction_loss,val_common_reconstruction_loss,train_common_total_loss,val_common_total_loss,train_kl_loss,val_kl_loss,train_market_loss,val_market_loss,train_sector_loss,val_sector_loss,train_idio_loss,val_idio_loss
1,0.9959990707332674,0.9071447849273682,0.9959936326108285,0.907137393951416,0.9962158811222528,0.9296085238456726,0.9971299580702452,0.8707432746887207,0.9971353961926841,0.8707506656646729,0.005433617362897923,0.007392224855720997,0.9942931521772808,1.0534284114837646,0.9941432085588688,0.8791628479957581,1.0002112764604556,0.8562341928482056
2,0.9848201995526448,0.892559826374054,0.98479642455413,0.8925046920776367,0.9853607891447574,0.9169490933418274,0.9874528512461099,0.8569672703742981,0.9874766262446248,0.8570224046707153,0.023771054399517256,0.05513377860188484,0.9809601662663183,1.0431177616119385,0.9803386711659723,0.8578113913536072,0.9947834848345314,0.8499181270599365
3,0.9580703877843539,0.855983555316925,0.9579455991336994,0.8558282852172852,0.9561335180049669,0.8689217567443848,0.96895470645232,0.8408678770065308,0.9690794920178979,0.8410231471061707,0.12478768111504479,0.15528276562690735,0.9291648033703573,0.927931547164917,0.9517094941453513,0.8329593539237976,0.9875262472439622,0.8458742499351501
4,0.9323185794612824,0.826791524887085,0.9321056225981444,0.8265166282653809,0.9260916901271062,0.8322968482971191,0.953267900653566,0.825637698173523,0.9534808544316274,0.825912594795227,0.21296243849814878,0.27489525079727173,0.8689279663770053,0.8463038802146912,0.92757941458903,0.8103994727134705,0.9817676944767373,0.8401870727539062
5,0.9183790467790973,0.8179212212562561,0.9180176166498946,0.817486047744751,0.9109436593651531,0.8206532597541809,0.9432360847325061,0.8214537501335144,0.9435975148617088,0.8218889236450195,0.3614248158692639,0.43519216775894165,0.8430181382110231,0.8189698457717896,0.9123506828015795,0.8039752244949341,0.977462115000483,0.8390148878097534
6,0.9120558801807954,0.8128812909126282,0.9115044961706424,0.8122495412826538,0.903572557500823,0.8147055506706238,0.9388781259332742,0.8179258108139038,0.9394295099434272,0.8185575604438782,0.5513826936929274,0.631743311882019,0.829309167309517,0.8079317808151245,0.9061004411725925,0.7990384697914124,0.9753080815426309,0.8371462821960449
7,0.9077829337293591,0.8083009123802185,0.9070451086559519,0.8075351715087891,0.8989310003560996,0.8087601065635681,0.9353329230309304,0.815493106842041,0.9360707511894143,0.8162588477134705,0.7378252724910911,0.7657268047332764,0.8223613919731677,0.7945973873138428,0.901216751980579,0.7955541014671326,0.9732148179967443,0.8361287713050842
8,0.9022769640680753,0.8031389713287354,0.9014422466433872,0.8022969961166382,0.8938994852338684,0.8044622540473938,0.9302124135946389,0.8106231689453125,0.931047131019327,0.8114651441574097,0.8347129810449327,0.8419719934463501,0.8175170725649106,0.7915031313896179,0.8934220478113393,0.7871564030647278,0.9707593069450604,0.8347272872924805
9,0.8957867486198278,0.7953649759292603,0.8948409033602566,0.7943715453147888,0.8877579130675212,0.7955891489982605,0.9242616393187245,0.80527663230896,0.9252074784081424,0.8062700629234314,0.9458456757673116,0.993435263633728,0.8109742172613734,0.7752120494842529,0.8847809441890786,0.7793126106262207,0.967518592189306,0.8322427868843079
10,0.8873188727498778,0.7890082597732544,0.8862482971186778,0.7878894209861755,0.8786981259576232,0.7867686748504639,0.9176228725134097,0.8027224540710449,0.9186934481446096,0.8038412928581238,1.0705767483350674,1.118851661682129,0.7968219023603107,0.753210723400116,0.8755107651921452,0.7755934596061707,0.9637617145141898,0.8315019011497498
