window_size,generative_candidate_id,fidelity_error,distribution_error,diversity_score,alpha_response,latent_smoothness_score,covariance_error,covariance_structure,boundary_discontinuity,candidate_id,latent_dim,dropout,best_epoch,val_selection_score,n_parameters,copy_warning,extreme_warning
5,0.0,0.09392988244138223,0.003973309545039955,0.0005029943345765439,0.01015625683861774,2.4303245838965275e-05,0.16112976991214453,0.9740844513241947,0.021958785897385192,4.0,64.0,0.0,520.0,0.2986014187335968,172221.0,0.0,1.0
7,1.0,0.13050775001698148,0.006778062800178115,0.0004402033626065521,0.012130169592175428,3.624516825819858e-05,0.25241292589201964,0.9790249021580579,0.020658402171006954,34.0,64.0,0.1,740.0,0.5374318957328796,370365.0,0.0,0.0
10,2.0,0.2002191062423718,0.011287561230284,0.0003836814126640491,0.015675312286953298,4.511395297231006e-05,0.3395890739283145,0.9680973291393883,0.018559075803170382,88.0,48.0,0.2,272.0,0.6956459879875183,1309853.0,0.0,0.0
12,3.0,0.27844752912016385,0.02032772128982515,0.0005037056741879434,0.019136120316850885,5.471152151629364e-05,0.5922907728896382,0.9524168397783394,0.017725262342949525,94.0,64.0,0.2,119.0,0.7248706221580505,1330365.0,0.0,1.0
