generative_candidate_id,candidate_id,architecture,window_size,latent_dim,window_id,window_start,window_end,direction_id,seed,alpha,factor_mse_to_real,returns_mse_to_real,normalized_euclidean_distance,volatility_ratio,mean_abs_correlation_change,latent_step_distance,left_boundary_jump,right_boundary_jump
0,4,gru_128,5,64,0,2015-02-02,2015-02-06,0,12021,0.0,0.00010383670390622686,0.00011861490608219687,0.01089104706087513,0.919854013682941,0.2547779626754201,,0.03474291373277083,0.02402828969449426
0,4,gru_128,5,64,0,2015-02-02,2015-02-06,0,12021,0.25,0.00010390232473168228,0.00011866338763548358,0.010893272586118627,0.9206077231649664,0.25479191891682085,0.00013092356220508925,0.034737265129418424,0.024072889723659802
0,4,gru_128,5,64,0,2015-02-02,2015-02-06,0,12021,0.5,0.00010399135850393269,0.00011874956498022588,0.010897227398757259,0.9213594567641742,0.25485490672578376,0.00013115715424541732,0.03473161339837437,0.024117024914206316
0,4,gru_128,5,64,0,2015-02-02,2015-02-06,0,12021,0.75,0.00010410401147685411,0.00011887375976086583,0.010902924367382626,0.9221092144805646,0.25494192612194383,0.00013139674411188768,0.03472594144986942,0.024160700799742092
0,4,gru_128,5,64,0,2015-02-02,2015-02-06,0,12021,1.0,0.00010424027091490934,0.00011903608497875203,0.010910365941559981,0.9228573555655588,0.25505875933926137,0.0001316381114640769,0.03472027292397494,0.024203913833480327
0,4,gru_128,5,64,0,2015-02-02,2015-02-06,0,12021,1.5,0.00010458413226113771,0.00011947601430126894,0.010930508419157313,0.9243478897128053,0.25550607665733427,0.0002639945172640037,0.03470890523167327,0.024288911492719004
0,4,gru_128,5,64,0,2015-02-02,2015-02-06,1,12022,0.0,0.00010383670390622686,0.00011861490608219687,0.01089104706087513,0.919854013682941,0.2547779626754201,,0.03474291373277083,0.02402828969449426
0,4,gru_128,5,64,0,2015-02-02,2015-02-06,1,12022,0.25,0.0001038264043144543,0.00011852383508323016,0.010886865255124185,0.919754860290644,0.2549608873350406,0.00012074044157436786,0.034737165314921485,0.024030578994036964
0,4,gru_128,5,64,0,2015-02-02,2015-02-06,1,12022,0.5,0.00010383636470018802,0.00011846255933380526,0.010884050685925954,0.919662532675353,0.2551357065657302,0.00012072501451917142,0.03473140448719884,0.024032536967812726
0,4,gru_128,5,64,0,2015-02-02,2015-02-06,1,12022,0.75,0.00010386655861447426,0.00011843104986198686,0.010882603082993832,0.919577030837068,0.2553141635843003,0.00012070372271162983,0.034725644008722155,0.0240341659130839
