generative_candidate_id,window_size,alpha,mean_difference,volatility_ratio_aggregate,quantile_mae,skewness_difference,kurtosis_difference,cross_sectional_mean_difference,distance_to_original,distance_to_original_std,between_direction_diversity,latent_smoothness,latent_smoothness_std,left_boundary_jump,right_boundary_jump,cov_frobenius_distance,cov_frobenius_relative,cov_element_correlation,mean_correlation_real,mean_correlation_synthetic,mean_abs_correlation_difference,max_abs_correlation_difference,largest_eigenvalue_real,largest_eigenvalue_synthetic,first_eigenvalue_share_real,first_eigenvalue_share_synthetic,top5_eigenvalue_difference
0,5,0.0,5.082577211724124e-05,0.8927158519493932,0.004015385017264251,0.043405246302577694,1.6040993317788868,0.001091705966880545,0.010124116397263478,0.0019573818830063813,0.0,,,0.021966599056152822,0.021928180429022177,0.0010379731890490715,0.16113069486727877,0.9741117143859839,0.304462025460448,0.3911993766759207,0.09399876113002091,0.3692536516129481,0.005621913544316395,0.005379295858803491,0.3402686222191612,0.4093003962285311,0.0003485220797003612
0,5,0.25,4.8524008374079084e-05,0.8927070620892805,0.003973487535025395,0.04432807521531268,1.5949411973184375,0.0010935177919234775,0.010124631335128333,0.001957516203139456,0.00018861181819101685,0.00013630848068355784,2.0239840673373055e-05,0.021963023580006364,0.021930221291664442,0.0010381525556663604,0.16115853900428026,0.9741033115649473,0.304462025460448,0.3912044674583237,0.09399190307886053,0.3694701099703135,0.005621913544316395,0.005378743141676913,0.3402686222191612,0.4092635595585523,0.00034916161594069673
0,5,0.5,4.62191014172276e-05,0.8927263047560137,0.003990659913978941,0.04525001005837603,1.583334027213457,0.0010967250956169297,0.010127086459176607,0.0019573152008109584,0.0003772359898549728,0.00013631654678067628,2.0245246590302187e-05,0.021959804022173436,0.02193297337314434,0.001038215734607775,0.16116834664366683,0.9740937456886964,0.304462025460448,0.39119484583150926,0.09397238061586158,0.36967298822404715,0.005621913544316395,0.005378347615406672,0.3402686222191612,0.4092127627120178,0.0003495957907439472
0,5,0.75,4.391116766200862e-05,0.8927736591375215,0.003987423251382547,0.04617024616906329,1.569291172904375,0.0011020156610807863,0.010131480411969993,0.0019567799093257016,0.0005658677022970236,0.00013632184764231136,2.025062406028791e-05,0.02195696399282024,0.021936317919071493,0.0010381625512305064,0.16116009067460607,0.9740830230753255,0.304462025460448,0.3911705440637921,0.0939411091229478,0.36986218420301387,0.005621913544316395,0.005378109575281195,0.3402686222191612,0.40914804752733475,0.00034982488756086453
0,5,1.0,4.160113843099675e-05,0.892849046045875,0.003957793859764423,0.04708818750092669,1.5528269395059375,0.0011092633186799777,0.010137810155965116,0.001955912786265166,0.0007545014775941583,0.0001363248023558713,2.0255438495858576e-05,0.021954761857836274,0.021940027629819815,0.001037993041486811,0.16113377667817863,0.9740711334950212,0.304462025460448,0.3911315759906206,0.0938988895405137,0.37003762342947555,0.005621913544316395,0.005378028937720047,0.3402686222191612,0.40906941085940707,0.00034984922534273525
0,5,1.5,3.6973512973054266e-05,0.8930838382551906,0.003915107692824177,0.04891527847954913,1.512692509574297,0.0011282551176352961,0.01015625683861774,0.001953199426059211,0.0011317490195220917,0.00027264654070657416,4.0525079375004646e-05,0.021951562875322024,0.02194904751524203,0.0010373063119470663,0.16102717160485652,0.9740437797351942,0.304462025460448,0.39100983727162314,0.0937762511600888,0.37034700615644556,0.005621913544316395,0.005378341299760468,0.3402686222191612,0.40887057740543603,0.0003492848111549535
1,7,0.0,1.986709040595867e-05,0.8092406359788431,0.006759051237022437,0.11138054368357703,0.6060678349173934,0.0019346371653340439,0.012099574784264473,0.002175066098682819,0.0,,,0.02065292857773602,0.02073441126344551,0.0015326612615831567,0.2523123055450038,0.9790376502601542,0.2437709316759177,0.3730986502200715,0.13052088640242587,0.3519175505569177,0.005063025291092805,0.0048423988415058055,0.3120820574770591,0.45597527112997194,0.0009341705447291224
1,7,0.25,2.0247448366197724e-05,0.809186618335251,0.006730523707577743,0.11209521827559515,0.6003229008353621,0.0019365096570129199,0.012101060817686922,0.0021752854359589177,0.00016490884960982866,0.000121753439268497,3.029027432456459e-05,0.02065474898274794,0.020732302757632957,0.0015328024484365346,0.25233554824147,0.979033429444156,0.2437709316759177,0.37310136613960476,0.1305169077415884,0.35206718564528905,0.005063025291092805,0.004841351724561512,0.3120820574770591,0.45593718932706856,0.0009345033806805601
1,7,0.5,2.0637527005809325e-05,0.809124769731493,0.006749655765713893,0.1128573232636933,0.5936490879691512,0.0019390661083668766,0.012103996130171062,0.0021753980213255575,0.0003299345244327332,0.00012174118760345309,3.0241892484851343e-05,0.020656708590580573,0.02073027343648573,0.001532999432988483,0.2523679765592624,0.9790288372650826,0.2437709316759177,0.37310360229420747,0.13051237451831005,0.3522157708925351,0.005063025291092805,0.004840178303842096,0.3120820574770591,0.45589596323511156,0.0009349139492935314
1,7,0.75,2.103782108991124e-05,0.8090550102598127,0.00677928287046939,0.1136660241828446,0.5860483036673934,0.0019424309788236966,0.012108378123533683,0.0021754028918998113,0.0004950683135631745,0.0001217410166040661,3.0204233413394428e-05,0.020658758769680083,0.02072775203506826,0.0015332528181132333,0.2524096897457434,0.9790238905471661,0.2437709316759177,0.37310530403961095,0.13050724682556086,0.35236311837815876,0.005063025291092805,0.004838877848783256,0.3120820574770591,0.45585155968943974,0.0009354028586005894
