epoch,learning_rate,train_total_nll,train_selection_score,train_market_nll,train_sector_nll,train_idio_nll,train_mse,train_market_mse,train_sector_mse,train_idio_mse,train_coverage_68,train_coverage_95,train_standardized_residual_mean,train_standardized_residual_std,val_total_nll,val_selection_score,val_market_nll,val_sector_nll,val_idio_nll,val_mse,val_market_mse,val_sector_mse,val_idio_mse,val_coverage_68,val_coverage_95,val_standardized_residual_mean,val_standardized_residual_std
1,0.0001,0.5610085900050826,0.5708817617135113,0.609924087235089,0.5639047533563633,0.5564818806179475,1.0787401134029022,1.1718297541538263,1.0851511676312713,1.0692260096272137,0.753930480279986,0.9408761652628093,-0.0018864346496928702,1.0646063212669634,0.4913823221411024,0.4732238437448229,0.3792149892875126,0.507148734160832,0.4793547987937927,0.9601016044616699,0.7454230955668858,0.9907665933881488,0.9365922127451215,0.7557376793452671,0.9457406571933201,-0.0014819918168151552,0.9976506403514317
2,0.0001,0.5582497914937357,0.5675282738969317,0.6043331357862665,0.5608628292115481,0.5541007344196591,1.075851055883592,1.1677239110270832,1.0808042470333337,1.06783541397626,0.7545432426413083,0.941210236295455,-0.0016438858452579937,1.0623813593503577,0.4899627821786063,0.4716796236378806,0.3771895851407732,0.5056811358247485,0.47800378288541523,0.9580887470926557,0.7425145336559841,0.9887515561921256,0.9346117292131696,0.7565134508269173,0.9458284548350743,-0.0014550129959129013,0.9959022573062352
3,0.0001,0.5555623075898586,0.5640237697929953,0.5975697344532394,0.5579623463089137,0.5517621501799552,1.0718258073619251,1.1571099785310577,1.0778653856063585,1.0629435528014417,0.7564453137757164,0.9420865750349429,-0.0013407201523960774,1.0594947992137806,0.48865834730012075,0.4703221491404942,0.37563784633363995,0.5043469710009438,0.4767370011125292,0.9562386785234723,0.7401489785739354,0.9869195137705121,0.9327606558799744,0.7572745851108006,0.9460626499993461,-0.0014012292371522303,0.9942720276968819
4,0.0001,0.5538213877450853,0.5664770578764307,0.6178002735619904,0.5563198156803617,0.5491902790372334,1.0702407713493078,1.1638871633390007,1.0762610900603498,1.0610992445801688,0.7569120226611984,0.9420597173590204,-0.001765847911403018,1.0571702262772942,0.48746882166181293,0.4691311376435416,0.37447023391723633,0.5031289330550602,0.47557532787323,0.9545491337776184,0.7382088559014457,0.985248293195452,0.9310612763677325,0.7581674541745868,0.946106561592647,-0.0013214887918106147,0.99282477583204
5,0.0001,0.5536924019204124,0.5627969948072282,0.5987767532002419,0.5563852154347937,0.5494967699356099,1.0692764453502173,1.1630696712001678,1.0750096168996612,1.0604170230615462,0.7576204751676862,0.9421638030305131,-0.0017418774392997539,1.057162081163722,0.48638257810047697,0.46807572671345304,0.3735803323132651,0.5020105540752411,0.47451457381248474,0.9529942444392613,0.7364605069160461,0.9836909856115069,0.929514970098223,0.7586943932941982,0.9464871031897408,-0.0012056976099432046,0.9915095908301217
6,0.0001,0.5520948522590211,0.5605493621892094,0.5935834897400719,0.5549534139911517,0.5478531351409323,1.0678015241119962,1.1487493543092617,1.073940735075697,1.058964143578236,0.7583792872509466,0.942366939993681,-0.001126344205663016,1.055047823109507,0.48541593125888277,0.4670330882072449,0.37226750595229013,0.500992476940155,0.473611124924251,0.9516161935670036,0.7343890411513192,0.982306250504085,0.9281667385782514,0.7592213068689618,0.9467359270368304,-0.001143277604049737,0.9902573823928833
7,0.0001,0.5500208400666744,0.5617228133276799,0.6093494746237001,0.5521683993244317,0.545895716744817,1.064505821854044,1.1501191187319972,1.0702261711106933,1.0559317468070886,0.7588963568424238,0.9430401272121846,-0.0017422889014460429,1.053019577640176,0.484513235943658,0.4660813552992685,0.37113904101508005,0.5000590767179217,0.4727466787610735,0.9503406030791146,0.7325955884797233,0.9810342022350856,0.9269048486437116,0.7598214234624591,0.946867687361581,-0.0010759440234063991,0.9890984041350228
8,0.0001,0.5483338588088583,0.5553500977346242,0.5817628821164477,0.5516575830781149,0.5438957126459218,1.0623109312894952,1.1487971428291528,1.0682497148750625,1.0534892033993495,0.7600093946906157,0.9427832830764059,-0.001346007846171848,1.0508108121641953,0.4837013568196978,0.46526688763073515,0.370339640549251,0.49922312583242145,0.4719579943588802,0.9491606439862933,0.7309943607875279,0.979851348059518,0.9257422855922154,0.7604069198880877,0.9470579709325518,-0.0010195729430831438,0.9880289605685643
9,0.0001,0.5478141095109677,0.5547743228174025,0.5821573096120046,0.5499889791408564,0.5444945523480056,1.062150948699535,1.148319906750155,1.0679772087566926,1.053452517946012,0.7608504795869435,0.9430619535602427,-0.001215777584507535,1.0509554280785494,0.48293510930878775,0.46443850653512136,0.3692577992166792,0.498445851462228,0.4712133748190744,0.9480494941983905,0.729396641254425,0.978746839932033,0.9246408769062587,0.7607874700001308,0.9472482545035226,-0.0009897058896188224,0.9870832817895072
10,0.0001,0.5465661595402409,0.5533426492811165,0.5791779254804925,0.5494673604148508,0.5425779358796199,1.0607031011849992,1.1518920913331032,1.0668642337787353,1.0515023330755864,0.7609864634791217,0.9432667755982965,-0.0010973289144009398,1.0485614852849117,0.4822090353284563,0.46366424219948904,0.3682928042752402,0.4977052296910967,0.4705102401120322,0.9469960246767316,0.7278708900724139,0.9777035798345294,0.9235924908093044,0.7612997804369245,0.9474824241229466,-0.0009130560626674976,0.9861428482191903
