epoch,train_total_nll,train_selection_score,train_market_nll,train_sector_nll,train_idio_nll,train_mse,train_market_mse,train_sector_mse,train_idio_mse,train_coverage_68,train_coverage_95,train_standardized_residual_mean,train_standardized_residual_std,val_total_nll,val_selection_score,val_market_nll,val_sector_nll,val_idio_nll,val_mse,val_market_mse,val_sector_mse,val_idio_mse,val_coverage_68,val_coverage_95,val_standardized_residual_mean,val_standardized_residual_std
1,0.5411372479206483,0.5523476210989683,0.5949385464361444,0.5460779811067031,0.5344030588134248,1.063570398027667,1.1701669082326067,1.073962365023694,1.0496251650422352,0.7647554978464782,0.9437086769532151,0.014681116700665447,1.0453864051081152,0.47145478214536396,0.45510031495775494,0.3684933270726885,0.48749563097953796,0.45884606667927336,0.9324595076697213,0.7095020753996713,0.9636050377573285,0.9087461573737008,0.7654273935726711,0.9487412401608059,0.014752891846001148,0.976166810308184
2,0.535569751357869,0.5442491628344374,0.5757903494089587,0.5407572411770013,0.5290415457535389,1.0573915873536774,1.168359676158163,1.0673788232389887,1.0437055109095315,0.7671850549787096,0.9443932182096578,0.013335625450320741,1.038407730328581,0.46971258521080017,0.4533406155450003,0.3666750192642212,0.4857381113937923,0.4571218320301601,0.9296676431383405,0.7089700613703046,0.9608873554638454,0.9058042424065726,0.7665397950581142,0.9493267110415867,0.013525012082287244,0.9730650782585144
3,0.5319007172356044,0.5381756533368682,0.5586558755506329,0.5378579386152408,0.5250516972811101,1.0540056820263948,1.164026712358032,1.0645399305117313,1.0398039971496877,0.7683072486606517,0.945027259847333,0.012054161262670313,1.034078157838929,0.46843143020357403,0.4519948193005153,0.365074702671596,0.48443678872925894,0.45587165440831867,0.9277603200503758,0.7083980866840908,0.9590003831045968,0.9038325377873012,0.7672716549464634,0.9495169946125576,0.012362157792917319,0.9708254677908761
4,0.5294403046522559,0.5326377210859157,0.5400929198697575,0.5353073508346414,0.5232181783682676,1.0518590568884127,1.1636844356605411,1.0622260736453486,1.0377645285144508,0.7693677347385061,0.9454424745752277,0.010712176686204881,1.030966511741068,0.4673489119325365,0.4505152702331543,0.3619173083986555,0.4833406720842634,0.45487151401383535,0.9262305583272662,0.7084393330982753,0.9574397887502398,0.9022813865116665,0.7677985770361764,0.9497951098850795,0.0110626220703125,0.969284440789904
5,0.5262200606766934,0.5273193185899303,0.5250005864172205,0.5328747032712816,0.5196061559187231,1.0499082231480805,1.1649911212227513,1.0603888601625706,1.0355910537110964,0.769900775914592,0.9457435918683946,0.00946839028279814,1.0270702993264555,0.46648456369127544,0.449163019657135,0.3585315431867327,0.4824323058128357,0.45413517526217867,0.9250828623771667,0.7082316364560809,0.9563147340502057,0.9010797824178424,0.7685450911521912,0.9500000051089695,0.009549619896071298,0.9684372288840157
6,0.5238303107597865,0.5212372129669341,0.5032315315754157,0.5304339852458194,0.5179130671980445,1.0489479931707866,1.1586488116079918,1.0595572831898639,1.0346819573107,0.77028419045945,0.9460503321270636,0.008146932483021185,1.0257907195289817,0.46568373697144644,0.44764849117824007,0.353976309299469,0.4816297931330545,0.45346113613673616,0.924269574029105,0.7084457448550633,0.9554715071405683,0.9002616150038583,0.7681352496147156,0.9498975362096514,0.008335774764418602,0.9685326814651489
7,0.5189694173663804,0.5124181371141826,0.4772093689618489,0.525885055490854,0.5134457696762618,1.048340628572824,1.1575823909068066,1.0587898469012054,1.0342502041469623,0.7708209806078853,0.9461849953063338,0.006590820413031836,1.0213418571322017,0.46481895446777344,0.4454917481967381,0.34630769065448214,0.4807687444346292,0.4528195304530008,0.9238008856773376,0.7094204596110752,0.9549280575343541,0.8998197402272906,0.7669349993978228,0.9493852598326546,0.00714425862367664,0.9712193267686027
8,0.5136306860653659,0.5025702980131812,0.44766639522396356,0.5209949626558111,0.5084651078724957,1.0492344990296154,1.1630865004969813,1.0597086915681515,1.034965176617698,0.7688197301104622,0.9460353700691676,0.006328554658502918,1.0214244958950462,0.4636572599411011,0.44250254545892986,0.33541880760874065,0.47971019574574064,0.4518789052963257,0.9237837535994393,0.7102189489773342,0.954891996724265,0.8997952086584908,0.764783365385873,0.9485801969255719,0.0057583920923726896,0.9772130165781293
9,0.5070949983440395,0.4896599615871464,0.4086425803384982,0.5134497211955985,0.5040219116741361,1.0523442590297867,1.1677897438891465,1.0620438998859403,1.038796557233596,0.7644263190401668,0.9458932320322232,0.004972162010224937,1.0229690634585489,0.4621025536741529,0.43858656712940763,0.3212695526225226,0.47831378664289204,0.45058591450963703,0.9238176345825195,0.7093793664659772,0.9549070256096976,0.899876322065081,0.7599385125296456,0.9471896716526577,0.004667064640671015,0.988415811743055
10,0.49774780033046834,0.47182509690710156,0.35319732856356073,0.5054572127202682,0.49485670251976877,1.0545383522460205,1.1691658220764438,1.0648819544760078,1.0403739432913197,0.760522943357706,0.9455995776962024,0.004029458732951456,1.0251100331255862,0.45930110130991253,0.4339225803102766,0.30865884891578127,0.47551865237099783,0.4481049392904554,0.9225615092686245,0.7057585035051618,0.9537277221679688,0.8986219423157829,0.7556352274758475,0.94569673708507,0.003633656173146197,0.9981058921132769
11,0.488160848804562,0.4581326715822432,0.32308620615680084,0.4948408811757446,0.4869832772903965,1.0558333509456614,1.1672073823686198,1.0658603667940878,1.0420939884931104,0.7572180804904366,0.9453096799828703,0.002883038635504327,1.0239186593619878,0.45669800468853544,0.43144670128822327,0.3065074703523091,0.47312265634536743,0.44527955991881235,0.9204136899539402,0.7043554868016925,0.9514274341719491,0.8966011490140643,0.7555181554385594,0.9455210651670184,0.003494256442146642,0.9992003100258964
12,0.47838216011890056,0.44492576262370154,0.2952638907019098,0.4850626430270744,0.47780552380641256,1.0534489447568665,1.1704089295775701,1.0638390891020189,1.039160340871392,0.755190633666631,0.9451544428986953,0.0032031971863505505,1.0224515246583337,0.4549405574798584,0.4286630153656006,0.29891657403537203,0.47177569355283466,0.44330616508211407,0.9191210355077472,0.7046124168804714,0.9501181755747113,0.8952744432858059,0.7496633444513593,0.9423302071435111,0.0032923249527812004,1.016422688961029
13,0.47192416361788647,0.43678840542614833,0.28087401097662706,0.47774301300168515,0.4724736486716197,1.0527720904935107,1.1704395275692632,1.0628464636092723,1.038775452599142,0.7518072121835612,0.9447036940440816,0.0028569879897314145,1.025805286863363,0.4540659061500004,0.4284761164869581,0.30147536950451986,0.47107779128210886,0.44214047704424175,0.9185654435838971,0.7048301100730896,0.9494968397276742,0.8947586417198181,0.7496926188468933,0.9430327841213771,0.0031271446496248245,1.0147808705057417
14,0.46701701657811506,0.42992873924225994,0.26526176206941815,0.47324311500335514,0.46751606700696474,1.0523134484946626,1.1654261458076483,1.0632208192681696,1.0376355359027947,0.7510385072306096,0.9451525783919635,0.002482169502878565,1.0240912366715826,0.45513354880469187,0.4314471483230591,0.3121927785021918,0.4724951982498169,0.44253661377089365,0.9183403509003776,0.7052011234419686,0.9491682137761798,0.8946169699941363,0.7527517420904977,0.9437500068119594,0.0031717342457601,1.0080430507659912
15,0.460912251040654,0.4230236767430477,0.2547256143448085,0.46734647480882513,0.4613510353763785,1.0501959780863335,1.15965722209715,1.0600261653550882,1.0367170366231742,0.7506924825808149,0.9455752701196274,0.002201199725071575,1.020689181715709,0.4546429770333426,0.43150960547583445,0.31482427035059246,0.4718036353588104,0.442143120935985,0.9182049291474479,0.7051356264523098,0.9490822979382106,0.8944298880440849,0.751712509563991,0.9437500153269086,0.0032569265126117636,1.010449937411717
16,0.4571026439538902,0.41839353965475296,0.2462249858781942,0.4638908968880322,0.4573436224045783,1.0499497474565957,1.1605177192231009,1.0598056585667681,1.0364081386967652,0.750509201732283,0.9457566830272751,0.0024515552742364753,1.0179932922617885,0.4565731542451041,0.4345646159989493,0.32231331510203226,0.47407728007861544,0.4435443367276873,0.9179474796567645,0.70526693548475,0.9487660697528294,0.894218453339168,0.7497804505484444,0.9425204907144819,0.0030210308198417935,1.016791318144117
17,0.4540603373367584,0.4136396405088922,0.2352159969036877,0.4598591209341986,0.455556268904186,1.048404468853543,1.1643422076991812,1.0581507294503063,1.0347936535588824,0.7486033314510678,0.9451114188856352,0.0018992904790405384,1.0223245513962802,0.4573658747332437,0.43666837896619526,0.32967275381088257,0.4751867098467691,0.4438015009675707,0.9178372962134225,0.7052422506468636,0.9486569336482457,0.8941046169825962,0.7530737604413714,0.9438378129686628,0.0029089895875326227,1.00850681747709
18,0.4498583726963178,0.4094014485699751,0.22974895911596194,0.45667759400058733,0.4503761783233725,1.0473024854643713,1.1562022443709887,1.0575841166465811,1.033390799387482,0.7495777744330206,0.9456276340411176,0.0021038435453190948,1.017145168046848,0.4589157061917441,0.43964061566761564,0.3379660631929125,0.47744251574788776,0.44442046114376615,0.91768365246909,0.7052709630557469,0.9485505478722709,0.893896758556366,0.7531322922025409,0.9435597062110901,0.0030513338278979063,1.009594406400408
19,0.446818572347394,0.4052248535262335,0.22083445803750534,0.4535349967033606,0.44763487370029154,1.046961882491147,1.158621502412229,1.0572766220644414,1.0329251600821496,0.7471407370708768,0.9454256397142318,0.0015489594878456718,1.0192637457143083,0.46141801135880606,0.44443524735314505,0.3523495963641575,0.4801194838115147,0.4463519241128649,0.9176250185285296,0.7053344334874835,0.9485167435237339,0.8938090205192566,0.7523126346724374,0.9428278633526394,0.0030415771595601526,1.0133567793028695
