candidate_id,architecture,hidden_dims,dropout,context_length,best_epoch,epochs_run,val_selection_score,val_total_nll,val_market_nll,val_sector_nll,val_idio_nll,n_parameters,training_seconds,initial_learning_rate,lr_step_size,lr_factor,min_learning_rate,weight_decay,patience,checkpoint,scaler_path,history_path
1,gru_48_24_12,"[48, 24, 12]",0.35,20,100,250,0.4370733754975455,0.4615464380809239,0.31660707933562143,0.4768734404018947,0.4510507753917149,30610,117.0271875000326,0.0002,25,0.5,1e-06,0.02,150,..\models\autoregressive\multihorizon_5d\refined_architecture_grid\long_training_1000_epochs\checkpoints\candidate_01_gru_48_24_12_dropout_0.35_context_20.pt,..\models\autoregressive\multihorizon_5d\refined_architecture_grid\long_training_1000_epochs\checkpoints\candidate_01_gru_48_24_12_dropout_0.35_context_20_scaler.joblib,..\models\autoregressive\multihorizon_5d\refined_architecture_grid\long_training_1000_epochs\histories\candidate_01_gru_48_24_12_dropout_0.35_context_20.csv
3,gru_48_24_12,"[48, 24, 12]",0.45,20,106,256,0.4378924710409982,0.46029854246548246,0.3258397536618369,0.47600408111299786,0.4490749367645809,30610,113.80437499994878,0.0002,25,0.5,1e-06,0.02,150,..\models\autoregressive\multihorizon_5d\refined_architecture_grid\long_training_1000_epochs\checkpoints\candidate_03_gru_48_24_12_dropout_0.45_context_20.pt,..\models\autoregressive\multihorizon_5d\refined_architecture_grid\long_training_1000_epochs\checkpoints\candidate_03_gru_48_24_12_dropout_0.45_context_20_scaler.joblib,..\models\autoregressive\multihorizon_5d\refined_architecture_grid\long_training_1000_epochs\histories\candidate_03_gru_48_24_12_dropout_0.45_context_20.csv
0,gru_32_16,"[32, 16]",0.35,40,51,201,0.4410965527806963,0.4640500375202724,0.33187875151634216,0.47484477928706575,0.45766131367002216,21890,94.37249559990596,0.0002,25,0.5,1e-06,0.02,150,..\models\autoregressive\multihorizon_5d\refined_architecture_grid\long_training_1000_epochs\checkpoints\candidate_00_gru_32_16_dropout_0.35_context_40.pt,..\models\autoregressive\multihorizon_5d\refined_architecture_grid\long_training_1000_epochs\checkpoints\candidate_00_gru_32_16_dropout_0.35_context_40_scaler.joblib,..\models\autoregressive\multihorizon_5d\refined_architecture_grid\long_training_1000_epochs\histories\candidate_00_gru_32_16_dropout_0.35_context_40.csv
2,gru_32_16_8,"[32, 16, 8]",0.25,40,230,380,0.4417432802064078,0.4642883283751352,0.3281617420060294,0.4808835174356188,0.4522306280476706,17634,263.19497989991214,0.0002,25,0.5,1e-06,0.02,150,..\models\autoregressive\multihorizon_5d\refined_architecture_grid\long_training_1000_epochs\checkpoints\candidate_02_gru_32_16_8_dropout_0.25_context_40.pt,..\models\autoregressive\multihorizon_5d\refined_architecture_grid\long_training_1000_epochs\checkpoints\candidate_02_gru_32_16_8_dropout_0.25_context_40_scaler.joblib,..\models\autoregressive\multihorizon_5d\refined_architecture_grid\long_training_1000_epochs\histories\candidate_02_gru_32_16_8_dropout_0.25_context_40.csv
