alpha,mean_absolute_corr_diff,max_absolute_corr_diff,mean_std_ratio,mean_origin_distance_components,mean_between_variant_distance_returns
0.0,0.15582560743628665,0.437070808641098,0.8186654812970037,0.01168997426899295,0.0
0.25,0.15591153799887925,0.43715026570319865,0.8186747764960306,0.011690674617364234,0.00020301989345336677
0.5,0.15598252847173313,0.4372179555237646,0.8187088341461666,0.01169220321275512,0.0004060448578686001
1.0,0.15607975712067934,0.4373179331268175,0.8188513921819679,0.011697744125903397,0.0008120878673771853
1.5,0.1561172898453972,0.437370548351762,0.8190932099862673,0.01170659155544893,0.0012180826422812751
2.0,0.15609529845289472,0.43737576636260317,0.8194342891199041,0.01171873573549944,0.0016239838533058625
