candidate_id,architecture,latent_dim,window_size,learning_rate,family,hidden_dims,dropout,beta_kl,branch_loss_weights,best_epoch,best_validation_score,validation_branch_weighted_loss,validation_common_reconstruction_loss,validation_market_loss,validation_sector_loss,validation_idio_loss,validation_kl_loss,validation_total_loss,n_parameters,training_time_seconds,n_train_windows,n_validation_windows,checkpoint,history_path,market_hidden,sector_hidden,idio_hidden,fusion_hidden
44,single_gru_large,32,10,0.0005,single_branch,"[128, 128]",0.2,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",48,0.7518366575241089,0.7518366575241089,0.8234603404998779,0.601179838180542,0.8181017637252808,0.8362281918525696,2.151850461959839,0.75398850440979,349821,39.52728550002212,2448,64,..\models\vae\candidates\candidate_044.pt,..\reports\figures\vae\training_curves\candidate_044.csv,,,,
40,single_gru_large,24,10,0.0005,single_branch,"[128, 128]",0.2,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",49,0.7578602433204651,0.7578602433204651,0.8284943103790283,0.6092850565910339,0.8263277411460876,0.8379678130149841,2.343717336654663,0.7602039575576782,344685,39.63327749999007,2448,64,..\models\vae\candidates\candidate_040.pt,..\reports\figures\vae\training_curves\candidate_040.csv,,,,
28,single_gru_medium,32,10,0.0005,single_branch,"[128, 64]",0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",42,0.7746906280517578,0.7746906280517578,0.8291571736335754,0.6601232886314392,0.8261435031890869,0.8378051519393921,1.8647598028182983,0.7765553593635559,215933,32.38560499995947,2448,64,..\models\vae\candidates\candidate_028.pt,..\reports\figures\vae\training_curves\candidate_028.csv,,,,
8,single_gru_small,24,10,0.0005,single_branch,[64],0.0,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",42,0.7767381072044373,0.7767381072044373,0.8309431672096252,0.6627205610275269,0.8294861912727356,0.8380075097084045,2.6764004230499268,0.7794145345687866,48749,12.398968799971044,2448,64,..\models\vae\candidates\candidate_008.pt,..\reports\figures\vae\training_curves\candidate_008.csv,,,,
36,single_gru_large,16,10,0.0005,single_branch,"[128, 128]",0.2,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",23,0.7782053351402283,0.7782053351402283,0.8365481495857239,0.6554843187332153,0.8349693417549133,0.8441622853279114,1.948793649673462,0.7801541090011597,339549,38.779498400050215,2448,64,..\models\vae\candidates\candidate_036.pt,..\reports\figures\vae\training_curves\candidate_036.csv,,,,
0,single_gru_small,8,10,0.0005,single_branch,[64],0.0,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",42,0.7783385515213013,0.7783385515213013,0.8376821279525757,0.6535123586654663,0.8375096917152405,0.843993604183197,2.939194440841675,0.7812777757644653,43597,27.27738220000174,2448,64,..\models\vae\candidates\candidate_000.pt,..\reports\figures\vae\training_curves\candidate_000.csv,,,,
20,single_gru_medium,16,10,0.0005,single_branch,"[128, 64]",0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",46,0.7810633182525635,0.7810633182525635,0.8333986401557922,0.6709784269332886,0.8324046730995178,0.8398067951202393,2.0769906044006348,0.7831403017044067,210781,32.666209000046365,2448,64,..\models\vae\candidates\candidate_020.pt,..\reports\figures\vae\training_curves\candidate_020.csv,,,,
4,single_gru_small,16,10,0.0005,single_branch,[64],0.0,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",49,0.7814034223556519,0.7814034223556519,0.8343544006347656,0.6700237989425659,0.833346426486969,0.8408399820327759,2.9614193439483643,0.7843648195266724,46173,12.081921599979978,2448,64,..\models\vae\candidates\candidate_004.pt,..\reports\figures\vae\training_curves\candidate_004.csv,,,,
32,single_gru_large,8,10,0.0005,single_branch,"[128, 128]",0.2,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",23,0.7847997546195984,0.7847997546195984,0.8442592024803162,0.6597299575805664,0.8480381369590759,0.8466312289237976,2.175327777862549,0.786975085735321,334413,65.91774350003107,2448,64,..\models\vae\candidates\candidate_032.pt,..\reports\figures\vae\training_curves\candidate_032.csv,,,,
24,single_gru_medium,24,10,0.0005,single_branch,"[128, 64]",0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",28,0.7856258749961853,0.7856258749961853,0.8369917869567871,0.6775802373886108,0.8366508483886719,0.8426464796066284,1.8345508575439453,0.787460446357727,213357,32.023668800015,2448,64,..\models\vae\candidates\candidate_024.pt,..\reports\figures\vae\training_curves\candidate_024.csv,,,,
12,single_gru_small,32,10,0.0005,single_branch,[64],0.0,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",48,0.7864580154418945,0.7864580154418945,0.8306490778923035,0.6935042142868042,0.8268559575080872,0.8390137553215027,2.7270004749298096,0.7891849875450134,51325,12.100748000026215,2448,64,..\models\vae\candidates\candidate_012.pt,..\reports\figures\vae\training_curves\candidate_012.csv,,,,
45,single_gru_large,32,15,0.0005,single_branch,"[128, 128]",0.2,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",50,0.7916762828826904,0.7916762828826904,0.8391959071159363,0.6917209625244141,0.842768132686615,0.8405396938323975,2.127941608428955,0.7938042283058167,349821,54.46416679996764,2423,44,..\models\vae\candidates\candidate_045.pt,..\reports\figures\vae\training_curves\candidate_045.csv,,,,
16,single_gru_medium,8,10,0.0005,single_branch,"[128, 64]",0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",31,0.7927298545837402,0.7927298545837402,0.8433263301849365,0.6863025426864624,0.846971869468689,0.8449151515960693,2.0287699699401855,0.7947586178779602,208205,31.79602030001115,2448,64,..\models\vae\candidates\candidate_016.pt,..\reports\figures\vae\training_curves\candidate_016.csv,,,,
41,single_gru_large,24,15,0.0005,single_branch,"[128, 128]",0.2,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",47,0.7930102944374084,0.7930102944374084,0.8361215591430664,0.7023277878761292,0.8392103910446167,0.8374925255775452,2.145934820175171,0.7951562404632568,344685,55.19463889999315,2423,44,..\models\vae\candidates\candidate_041.pt,..\reports\figures\vae\training_curves\candidate_041.csv,,,,
88,multibranch_deep,24,10,0.0005,multi_branch,,0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",50,0.7957048416137695,0.7957048416137695,0.8214840888977051,0.7414793968200684,0.8101255297660828,0.8355095386505127,2.2652487754821777,0.7979701161384583,131117,53.44294519996038,2448,64,..\models\vae\candidates\candidate_088.pt,..\reports\figures\vae\training_curves\candidate_088.csv,"[16, 16]","[64, 32]","[64, 32]",128.0
76,multibranch_medium,32,10,0.0005,multi_branch,,0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",50,0.797234833240509,0.797234833240509,0.8050127625465393,0.7808743119239807,0.7921944856643677,0.8186355829238892,2.7237844467163086,0.7999586462974548,108541,32.03702350001549,2448,64,..\models\vae\candidates\candidate_076.pt,..\reports\figures\vae\training_curves\candidate_076.csv,[16],[64],[64],128.0
33,single_gru_large,8,15,0.0005,single_branch,"[128, 128]",0.2,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",46,0.7977049350738525,0.7977049350738525,0.8415908813476562,0.7053931355476379,0.8472264409065247,0.8404951691627502,2.2570226192474365,0.7999619841575623,334413,103.29200919996947,2423,44,..\models\vae\candidates\candidate_033.pt,..\reports\figures\vae\training_curves\candidate_033.csv,,,,
72,multibranch_medium,24,10,0.0005,multi_branch,,0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",50,0.7979965209960938,0.7979965209960938,0.8038762211799622,0.785628616809845,0.7899251580238342,0.8184356689453125,2.4244837760925293,0.8004209995269775,103021,31.99318640003912,2448,64,..\models\vae\candidates\candidate_072.pt,..\reports\figures\vae\training_curves\candidate_072.csv,[16],[64],[64],128.0
68,multibranch_medium,16,10,0.0005,multi_branch,,0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",50,0.7985101938247681,0.7985101938247681,0.8127284049987793,0.768602728843689,0.8054201006889343,0.8215075731277466,2.456732988357544,0.8009669184684753,97501,32.42079780000495,2448,64,..\models\vae\candidates\candidate_068.pt,..\reports\figures\vae\training_curves\candidate_068.csv,[16],[64],[64],128.0
29,single_gru_medium,32,15,0.0005,single_branch,"[128, 64]",0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",50,0.8000957369804382,0.8000957369804382,0.8411572575569153,0.7137247920036316,0.8452430367469788,0.8413193225860596,2.124366044998169,0.8022201061248779,215933,45.35190359997796,2423,44,..\models\vae\candidates\candidate_029.pt,..\reports\figures\vae\training_curves\candidate_029.csv,,,,
25,single_gru_medium,24,15,0.0005,single_branch,"[128, 64]",0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",40,0.8007221221923828,0.8007221221923828,0.8421984910964966,0.7134788036346436,0.8482930064201355,0.8403945565223694,1.8071092367172241,0.8025292158126831,213357,43.91432270000223,2423,44,..\models\vae\candidates\candidate_025.pt,..\reports\figures\vae\training_curves\candidate_025.csv,,,,
