epoch,train_total_loss,train_reconstruction_loss,train_selection_score,train_common_reconstruction_loss,train_common_total_loss,train_kl_loss,train_market_loss,train_sector_loss,train_idio_loss
1,1.0192556938692976,1.0192415950882139,1.0186065656810475,1.0215679081769695,1.0215820104516011,0.014096127334728982,1.0123774731214936,1.0186670781553584,1.024775110102094
2,0.9957403620126992,0.9957113473032156,0.9962307294252664,0.999546291780146,0.9995753037462299,0.02900731507708854,0.9892566196998218,0.9901466724341913,1.0092889193320866
3,0.9673972201407363,0.9673081550268937,0.9700396327782089,0.9737402473109869,0.9738293096814298,0.089066416587773,0.9622554733400849,0.9524902231570672,0.995373140732533
4,0.9401135967601679,0.9399348226908684,0.9397944395424693,0.9542023297566726,0.9543811093127714,0.17877429266149128,0.9094882042276821,0.9253431131667432,0.984551996003377
5,0.9243273428557203,0.9240669318558886,0.9186684890686716,0.9469831846292737,0.9472435956291053,0.26041613679402,0.8591100127308628,0.9158814206949801,0.981014061964317
6,0.9135697093939276,0.9131894769191914,0.9061361993229333,0.9396990528641652,0.9400792853389014,0.38023434534899325,0.8355384729226601,0.9061036410626642,0.9767664879699783
7,0.9036827900563157,0.9030859827009391,0.8963609132480381,0.9308647865744984,0.9314615939298752,0.5968086226558308,0.8237837831865151,0.8936976442359327,0.971601309578267
8,0.8940421365782838,0.8931778663999097,0.8870067397753397,0.9222012760826942,0.9230655462610683,0.8642690935524108,0.8129768392800513,0.8808472944609084,0.9671960973088066
9,0.8849334176475734,0.8838617505893481,0.8785091902402955,0.9136604468242079,0.9147321138824331,1.0716659124272199,0.8045702969715005,0.8683024932265667,0.9626547620691699
10,0.8768656623744999,0.8756274311545083,0.870408248168365,0.9063575991363416,0.9075958303563332,1.2382250116352382,0.7947905812062878,0.8586952806119222,0.9577388497660889
11,0.8679620516853168,0.8665778825541102,0.8601871326174594,0.8994868594251576,0.9008710285563643,1.384164765729016,0.7775221433154288,0.8508083088412554,0.9522309299854442
12,0.8571390494173784,0.8556028726888791,0.8458777152776118,0.8931908036084194,0.8947269803369187,1.5361793476743948,0.7463570395548196,0.8447431361062284,0.9465329598197402
13,0.8450992587700631,0.8433700409221889,0.8289276682528949,0.8873576865441419,0.8890869043920161,1.7292230146816847,0.7060231716887465,0.8396872337539176,0.9410725897141217
14,0.8328040692927124,0.8308437354099146,0.8134517191083086,0.8792171666237228,0.8811775005065208,1.9603201908329673,0.6751175422927366,0.8312446243554643,0.9339930057654232
15,0.8217353113518049,0.8196066067785464,0.8014184085853835,0.8696807080016468,0.8718094125749052,2.128713119634404,0.6578321783973862,0.8205662128180319,0.925856811221835
16,0.8119083145075418,0.8096414405379695,0.7918133831675728,0.8600931234687235,0.8623599974382957,2.2668741724123334,0.6481904927366545,0.8091421603985032,0.9181074852653649
